PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,DRAFT_ROUND,DRAFT_NUMBER
12282,Jack,McClinton,Jack McClinton,SG-PG,71.75,5' 11.75'',185.2,74.5,6' 2.5'',96,8' 0'',2009,2,51
12283,Jerel,McNeal,Jerel McNeal,SG,73.5,6' 1.5'',190.4,79.25,6' 7.25'',99.5,8' 3.5'',2009,-1,-1
201975,Jodie,Meeks,Jodie Meeks,SG,75,6' 3'',211.4,76.5,6' 4.5'',98,8' 2'',2009,2,41
201988,Patty,Mills,Patty Mills,PG,71.25,5' 11.25'',175.4,74,6' 2'',95,7' 11'',2009,2,55
201957,Byron,Mullens,Byron Mullens,C,83.75,6' 11.75'',258.2,85.5,7' 1.5'',111,9' 3'',2009,1,24
201985,A.J.,Price,A.J. Price,PG,72.5,6' 0.5'',192.8,75.75,6' 3.75'',97,8' 1'',2009,-1,-1
12284,Tyler,Smith,Tyler Smith,SF,77.25,6' 5.25'',212,81.75,6' 9.75'',104.5,8' 8.5'',2009,-1,-1
201969,DaJuan,Summers,DaJuan Summers,SF,79.25,6' 7.25'',243,84.75,7' 0.75'',106.5,8' 10.5'',2009,2,35
201966,Jermaine,Taylor,Jermaine Taylor,SG,75.5,6' 3.5'',207.4,80.75,6' 8.75'',101,8' 5'',2009,2,32
201952,Jeff,Teague,Jeff Teague,PG,72.25,6' 0.25'',175.2,79.5,6' 7.5'',98.5,8' 2.5'',2009,1,19
201977,Marcus,Thornton,Marcus Thornton,SG,74.75,6' 2.75'',194.4,77,6' 5'',99,8' 3'',2009,2,43
201944,Terrence,Williams,Terrence Williams,SG-SF,77,6' 5'',213.2,81,6' 9'',103.5,8' 7.5'',2009,1,11
201970,Sam,Young,Sam Young,SF-SG,77.25,6' 5.25'',222.8,82.75,6' 10.75'',105.5,8' 9.5'',2009,2,36
202374,Solomon,Alabi,Solomon Alabi,C,83.5,6' 11.5'',237.4,89,7' 5'',113,9' 5'',2010,2,50
202332,Cole,Aldrich,Cole Aldrich,C,81,6' 9'',236,88.75,7' 4.75'',111.5,9' 3.5'',2010,1,11
202329,Al-Farouq,Aminu,Al-Farouq Aminu,SF,79.25,6' 7.25'',216,87.25,7' 3.25'',108.5,9' 0.5'',2010,1,8
202341,James,Anderson,James Anderson,SF,76.75,6' 4.75'',207.6,80.5,6' 8.5'',104,8' 8'',2010,1,20
202337,Luke,Babbitt,Luke Babbitt,SF-PF,79.5,6' 7.5'',217.8,83.25,6' 11.25'',104.5,8' 8.5'',2010,1,16
202339,Eric,Bledsoe,Eric Bledsoe,PG,72.25,6' 0.25'',191.6,79.5,6' 7.5'',98,8' 2'',2010,1,18
202344,Trevor,Booker,Trevor Booker,PF,78.25,6' 6.25'',235.8,81.75,6' 9.75'',106,8' 10'',2010,1,23
202342,Craig,Brackins,Craig Brackins,PF-SF,80.5,6' 8.5'',229,84,7' 0'',109,9' 1'',2010,1,21
202340,Avery,Bradley,Avery Bradley,SG-PG,74,6' 2'',180.4,79.25,6' 7.25'',98.5,8' 2.5'',2010,1,19
202382,Derrick,Caracter,Derrick Caracter,PF,80.25,6' 8.25'',280,84.25,7' 0.25'',107.5,8' 11.5'',2010,2,58
202395,Sherron,Collins,Sherron Collins,PG,70.25,5' 10.25'',217.2,74.5,6' 2.5'',94,7' 10'',2010,-1,-1
202326,DeMarcus,Cousins,DeMarcus Cousins,C,81.5,6' 9.5'',291.8,89.75,7' 5.75'',113,9' 5'',2010,1,5
202348,Jordan,Crawford,Jordan Crawford,SG,75,6' 3'',198.4,79,6' 7'',101,8' 5'',2010,1,27
202334,Ed,Davis,Ed Davis,PF,81,6' 9'',226.6,84,7' 0'',108,9' 0'',2010,1,13
202365,Devin,Ebanks,Devin Ebanks,SF,79,6' 7'',207.8,84.25,7' 0.25'',107.5,8' 11.5'',2010,2,43
202324,Derrick,Favors,Derrick Favors,PF,80.75,6' 8.75'',245.2,88,7' 4'',110,9' 2'',2010,1,3
