BIG_BOARD,NAME,GRADE,POSITION,COLLEGE,COLLEGE_YEAR,DRAFT_YEAR
68,ColtonIverson,85,PF/C,Colorado St.,Sr.,2013
69,RichardHowell,86,PF/C,NC State,Sr.,2013
70,MikeMuscala,88,PF/C,Bucknell,Sr.,2013
71,OleksandrLypovyy,0,SF,BC Donetsk,1991,2013
72,MichaelSnaer,85,SG,Florida St.,Sr.,2013
73,BJYoung,88,SG,Arkansas,So.,2013
74,AugustoLima,89,PF,Unicaja Malaga,1991,2013
75,BrandonDavies,87,PF,BYU,Sr.,2013
76,JordanAboudou,86,SG/SF,Chalon,1991,2013
77,ArsalanKazemi,87,PF,Oregon,Sr.,2013
78,RaulNeto,87,PG,Lagun Aro GBC,1992,2013
79,SethCurry,85,PG/SG,Duke,Sr.,2013
80,RodneyMcGruder,0,SG,Kansas State,Sr.,2013
81,AlexOriakhi,87,PF/C,Missouri,Sr.,2013
82,WillCherry,85,PG,Montana,Sr.,2013
83,DanielTheis,0,PF,Ratiopharm Ulm,1992,2013
84,MarkoTodorovic,85,PF/C,Barcelona Regal,1992,2013
85,CJAiken,71,SF/PF,St. Joseph's,Jr.,2013
86,EliasHarris,86,SF/PF,Gonzaga,Sr.,2013
87,PhilPressey,85,PG,Missouri,Jr.,2013
88,AlexandreParanhos,0,SF/PF,Flamengo,1992,2013
89,DerrickNix,85,PF/C,Michigan St.,Sr.,2013
90,KevinParrom,76,SG/SF,Arizona,Sr.,2013
91,JackCooley,87,PF,Notre Dame,Sr.,2013
92,JoffreyLauvergne,89,PF/C,KK Partizan,1991,2013
93,DurandScott,88,SG,Miami,Sr.,2013
94,ChristianWatford,85,SF,Indiana,Sr.,2013
95,BrandonTriche,86,PG/SG,Syracuse,Sr.,2013
96,ElijahJohnson,89,PG/SG,Kansas,Sr.,2013
97,KennyBoynton,87,PG/SG,Florida,Sr.,2013
98,DevinBooker,0,PF/C,Clemson,Sr.,2013
99,EdDaniel,0,SF/PF,Murray St.,Sr.,2013
100,MarshawnPowell,0,PF,Arkansas,Jr.,2013
1,JoelEmbiid,100,C,Kansas,Fr.,2014
2,JabariParker,100,SF/PF,Duke,Fr.,2014
3,AndrewWiggins,99,SF,Kansas,Fr.,2014
4,MarcusSmart,96,PG,Oklahoma State,So.,2014
5,DanteExum,95,PG/SG,,1995,2014
6,JuliusRandle,96,PF,Kentucky,Fr.,2014
7,NoahVonleh,95,PF,Indiana,Fr.,2014
8,ZachLaVine,95,PG/SG,UCLA,Fr.,2014
9,ElfridPayton,94,PG,Louisiana Lafayette,Jr.,2014
10,DougMcDermott,92,SF,Creighton,Sr.,2014
11,AaronGordon,92,PF,Arizona,Fr.,2014
12,GaryHarris,92,SG,Michigan St.,So.,2014
13,RodneyHood,94,SF,Duke,So.,2014
14,NikStauskas,92,SG,Michigan,So.,2014
15,GlennRobinson,92,SF,Michigan,So.,2014
16,TJWarren,93,SF,NC State,So.,2014
17,KyleAnderson,93,SF,UCLA,So.,2014
18,DarioSaric,75,SF/PF,Anadolu Efes,1994,2014
19,JordanClarkson,91,PG/SG,Missouri,Jr.,2014
20,ShabazzNapier,93,PG,UConn,Sr.,2014
21,TylerEnnis,93,PG,Syracuse,Fr.,2014
22,JamesYoung,92,SG,Kentucky,Fr.,2014
23,JusufNurkic,92,C,Cedevita Zagreb,1994,2014
24,JeramiGrant,93,SF,Syracuse,So.,2014
25,CleanthonyEarly,93,SF/PF,Wichita State,Sr.,2014
26,CJWilcox,91,SG,Washington,Sr.,2014
27,AdreianPayne,92,PF,Michigan St.,Sr.,2014
28,JordanAdams,91,SG,UCLA,So.,2014
29,BogdanBogdanovic,90,SG,KK Partizan,1992,2014
30,SpencerDinwiddie,92,PG/SG,Colorado,Jr.,2014
31,VasiljeMicic,91,PG,Mega Vizura,1994,2014
32,KJMcDaniels,89,SF,Clemson,Jr.,2014
33,JarnellStokes,87,PF,Tennessee,Jr.,2014
34,JohnnyO'Bryant,89,PF/C,LSU,Jr.,2014
35,MarkelBrown,91,SG,Oklahoma State,Sr.,2014
36,PJHairston,87,SG,USA,Jr.,2014
37,ClintCapela,87,PF/C,Chalon,1994,2014
38,DeAndreDaniels,90,SF,UConn,Jr.,2014
39,NickJohnson,89,SG,Arizona,Jr.,2014
40,DwightPowell,87,PF,Stanford,Sr.,2014
41,ThanasisAntetokounmpo,88,SF,Delaware 87ers,1992,2014
42,SemajChriston,91,PG,Xavier,So.,2014
43,KhemBirch,88,PF,UNLV,Jr.,2014
44,DamienInglis,89,SF/PF,Roanne,1995,2014
45,MitchMcGary,89,C,Michigan,So.,2014
46,JabariBrown,86,SG,Missouri,Jr.,2014
47,JamesMcAdoo,87,PF,North Carolina,Jr.,2014
48,CameronBairstow,87,PF,New Mexico,Sr.,2014
49,DeonteBurton,88,PG/SG,Nevada,Sr.,2014
50,CJFair,89,SF,Syracuse,Sr.,2014
51,CoryJefferson,87,PF,Baylor,Sr.,2014
52,AlecBrown,85,PF/C,Wisconsin Green Bay,Sr.,2014
53,AlessandroGentile,86,SG/SF,Olimpia Milano,1992,2014
54,ArtemKlimenko,86,C,Avtodor,1994,2014
55,NemanjaDangubic,0,SG,Mega Vizura,1993,2014
56,RonaldRoberts,86,PF,St. Joseph's,Sr.,2014
57,DeAndreKane,86,PG/SG,Iowa St.,Sr.,2014
58,TarikBlack,0,PF/C,Kansas,Sr.,2014
59,PatricYoung,86,PF/C,Florida,Sr.,2014
60,JuvonteReddic,86,PF/C,VCU,Sr.,2014
61,NikolaJokic,85,PF/C,Mega Vizura,1995,2014
62,WalterTavares,88,C,Gran Canaria,1992,2014
63,FuquanEdwin,89,SG/SF,Seton Hall,Sr.,2014
64,AndreDawkins,85,SG,Duke,Sr.,2014
65,OjarsSilins,86,SF,Reggio Emilia,1993,2014
66,SeanKilpatrick,86,SG,Cincinnati,Sr.,2014
67,JahiiCarson,86,PG,Arizona St.,So.,2014
68,KendallWilliams,0,PG,New Mexico,Sr.,2014
69,RoyDevyn,85,SG,Iowa,Sr.,2014
70,KeithAppling,85,PG/SG,Michigan St.,Sr.,2014
71,XavierThames,84,PG/SG,San Diego St.,Sr.,2014
72,CristianoFelicio,0,PF/C,Flamengo,1992,2014
73,JordanBachynski,86,C,Arizona St.,Sr.,2014
74,CaseyPrather,0,SG,Florida,Sr.,2014
75,AxelToupane,0,SG/SF,Strasbourg,1992,2014
76,OndrejBalvin,0,C,Cajasol Sevilla,1992,2014
77,LaQuintonRoss,84,SF,Ohio St.,Jr.,2014
78,JustinCobbs,0,PG,California,Sr.,2014
79,RussSmith,85,PG/SG,Louisville,Sr.,2014
80,EricMoreland,0,PF/C,Oregon St.,Jr.,2014
81,AkilMitchell,86,PF,Virginia,Sr.,2014
82,JordanMcRae,85,SG,Tennessee,Sr.,2014
83,GeronJohnson,0,SG,Memphis,Sr.,2014
84,LamarPatterson,85,SG/SF,Pittsburgh,Sr.,2014
85,MelvinEjim,83,SF/PF,Iowa St.,Sr.,2014
86,JerrelleBenimon,0,PF,Towson,Sr.,2014
87,RoscoeSmith,85,PF,UNLV,Jr.,2014
88,BrendanLane,0,PF,Pepperdine,Sr.,2014
89,RichardSolomon,0,PF/C,California,Sr.,2014
90,ScottieWilbekin,0,PG,Florida,Sr.,2014
91,CameronClark,0,SF,Oklahoma,Sr.,2014
92,TalibZanna,0,PF,Pittsburgh,Sr.,2014
93,DevinOliver,0,SF,Dayton,Sr.,2014
94,SimBhullar,0,C,New Mexico St.,So.,2014
95,JoeJackson,86,PG,Memphis,Sr.,2014
96,RobertoNelson,0,PG/SG,Oregon St.,Sr.,2014
97,AaronCraft,84,PG,Ohio St.,Sr.,2014
98,BryceCotton,0,PG,Providence,Sr.,2014
99,AlexKirk,84,C,New Mexico,Jr.,2014
100,JamilWilson,0,SF,Marquette,Sr.,2014
1,Karl-AnthonyTowns,98,C,Kentucky,Fr.,2015
2,EmmanuelMudiay,99,PG,Guangdong,1996,2015
3,D'AngeloRussell,98,PG/SG,Ohio St.,Fr.,2015
4,JahlilOkafor,98,C,Duke,Fr.,2015
5,MarioHezonja,94,SG/SF,FC Barcelona,1995,2015
6,JustiseWinslow,97,SG/SF,Duke,Fr.,2015
7,KristapsPorzingis,96,PF,Cajasol Sevilla,1995,2015
8,StanleyJohnson,97,SF,Arizona,Fr.,2015
9,TreyLyles,95,PF,Kentucky,Fr.,2015
10,CameronPayne,93,PG,Murray St.,So.,2015
11,MylesTurner,94,C,Texas,Fr.,2015
12,DevinBooker,92,SG,Kentucky,Fr.,2015
13,SamDekker,94,SF,Wisconsin,Jr.,2015
14,WillieCauley-Stein,92,C,Kentucky,Jr.,2015
15,BobbyPortis,91,PF,Arkansas,So.,2015
16,KellyOubre,93,SF,Kansas,Fr.,2015
17,TerryRozier,92,PG,Louisville,So.,2015
18,MontrezlHarrell,92,PF,Louisville,Jr.,2015
19,RashadVaughn,91,SG,UNLV,Fr.,2015
20,JerianGrant,93,PG,Notre Dame,Sr.,2015
21,JustinAnderson,92,SG/SF,Virginia,Jr.,2015
22,FrankKaminsky,91,C,Wisconsin,Sr.,2015
23,DelonWright,93,PG/SG,Utah,Sr.,2015
24,KevonLooney,92,PF,UCLA,Fr.,2015
25,ChrisMcCullough,92,PF,Syracuse,Fr.,2015
26,RondaeHollis-Jefferson,90,SF,Arizona,So.,2015
27,NormanPowell,91,SG,UCLA,Sr.,2015
28,TyusJones,91,PG,Duke,Fr.,2015
29,JordanMickey,90,PF,LSU,So.,2015
30,RakeemChristmas,91,PF/C,Syracuse,Sr.,2015
31,GuillermoHernangomez,90,PF/C,Cajasol Sevilla,1994,2015
32,RichaunHolmes,91,PF,Bowling Green,Sr.,2015
33,RJHunter,89,SG,Georgia St.,Jr.,2015
34,OlivierHanlan,89,PG/SG,Boston College,Jr.,2015
35,JarellMartin,89,PF,LSU,So.,2015
36,CediOsman,91,SF,Anadolu Efes,1995,2015
37,CliffAlexander,89,PF/C,Kansas,Fr.,2015
38,ChristianWood,90,PF,UNLV,So.,2015
39,TerranPetteway,90,SF,Nebraska,Jr.,2015
40,JonathanHolmes,89,PF,Texas,Sr.,2015
41,DakariJohnson,89,C,Kentucky,So.,2015
42,LuisMontero,89,SG/SF,JUCO,So.,2015
43,NikolaMilutinov,85,PF/C,KK Partizan,1994,2015
44,JosephYoung,88,PG/SG,Oregon,Sr.,2015
45,AnthonyBrown,87,SG/SF,Stanford,Sr.,2015
46,TravisTrice,89,PG,Michigan St.,Sr.,2015
47,JPTokoto,89,SG/SF,North Carolina,Jr.,2015
48,BrandonAshley,87,PF,Arizona,Jr.,2015
49,JoshRichardson,87,SG,Tennessee,Sr.,2015
50,MouhammadouJaiteh,85,C,Nanterre,1994,2015
51,AndrewHarrison,89,PG/SG,Kentucky,So.,2015
52,VinceHunter,0,SF/PF,UTEP,So.,2015
53,PatConnaughton,88,SG,Notre Dame,Sr.,2015
54,BrandenDawson,71,SF/PF,Michigan St.,Sr.,2015
55,AaronWhite,85,SF/PF,Iowa,Sr.,2015
56,ArturasGudaitis,88,C,Zalgiris Kaunas,1993,2015
57,MichaelFrazier,0,SG,Florida,Jr.,2015
58,ChassonRandle,86,PG/SG,Stanford,Sr.,2015
59,LarryNance,87,PF,Wyoming,Sr.,2015
60,RobertUpshaw,86,C,Washington,So.,2015
61,BryceDejean-Jones,0,SG,Iowa St.,Sr.,2015
62,RyanBoatright,89,PG,UConn,Sr.,2015
63,JuwanStaten,89,PG,West Virginia,Sr.,2015
64,TreveonGraham,0,SG,VCU,Sr.,2015
65,LukaMitrovic,72,SF/PF,Crvena Zvezda,1993,2015
66,KevinPangos,0,PG,Gonzaga,Sr.,2015
67,JarvisWilliams,86,PF,Murray St.,Sr.,2015
68,LeBryanNash,84,SF/PF,Oklahoma State,Sr.,2015
69,MichaelQualls,89,SF,Arkansas,Jr.,2015
70,AaronHarrison,87,SG,Kentucky,So.,2015
71,TashawnThomas,86,PF,Oklahoma,Sr.,2015
72,TylerHarvey,86,SG,Eastern Washington,Jr.,2015
73,TJMcConnell,0,PG,Arizona,Sr.,2015
74,DanielDiez,71,SF/PF,Gipuzkoa Basket,1993,2015
75,DezWells,88,SG,Maryland,Sr.,2015
76,ChrisWalker,84,PF,Florida,So.,2015
77,KeiferSykes,0,PG,Wisconsin Green Bay,Sr.,2015
78,WillCummings,0,PG,Temple,Sr.,2015
79,Sir'DominicPointer,0,SF,St. Johns,Sr.,2015
80,QuinnCook,86,PG,Duke,Sr.,2015
81,AlanWilliams,86,PF/C,UC Santa Barbara,Sr.,2015
82,D'AngeloHarrison,0,SG,St. Johns,Sr.,2015
83,AdinVrabac,0,SF,KK Partizan,1994,2015
84,CoreyHawkins,0,SG,UC Davis,Sr.,2015
85,KevinDinal,0,PF,Souffel,1993,2015
86,ShawnDawson,83,SG/SF,Maccabi Rishon Lezion,1993,2015
87,DarrunHilliard,0,SG,Villanova,Sr.,2015
88,CadyLalanne,0,C,Massachusetts,Sr.,2015
89,DJNewbill,0,SG,Penn State,Sr.,2015
90,RalstonTurner,0,SG,NC State,Sr.,2015
91,MarcusThornton,85,PG/SG,William & Mary,Sr.,2015
92,TrevorLacey,78,PG/SG,NC State,Jr.,2015
93,MarcusEriksson,84,SG,FC Barcelona,1993,2015
94,AskiaBooker,0,PG,Colorado,Sr.,2015
95,DerrickMarks,0,PG/SG,Boise State,Sr.,2015
96,DavidKravish,0,PF,California,Sr.,2015
97,JuanVaulet,85,SG/SF,Bahia Basket,1996,2015
98,LaDontaeHenton,85,SF,Providence,Sr.,2015
99,DarionAtkins,0,PF,Virginia,Sr.,2015
100,NikolaRadicevic,0,PG/SG,Cajasol Sevilla,1994,2015
1,BenSimmons,100,SF/PF,LSU,Fr.,2016
2,BrandonIngram,99,SF,Duke,Fr.,2016
3,JaylenBrown,97,SG/SF,California,Fr.,2016
4,KrisDunn,96,PG,Providence,Jr.,2016
5,BuddyHield,95,SG,Oklahoma,Sr.,2016
6,DraganBender,95,PF,Maccabi Tel Aviv,1997,2016
7,MarqueseChriss,93,PF,Washington,Fr.,2016
8,DomantasSabonis,94,PF/C,Gonzaga,So.,2016
9,FurkanKorkmaz,93,SG,Anadolu Efes,1997,2016
10,JamalMurray,93,PG/SG,Kentucky,Fr.,2016
11,DejounteMurray,93,PG/SG,Washington,Fr.,2016
12,MalikBeasley,92,SG,Florida St.,Fr.,2016
13,DeyontaDavis,92,PF/C,Michigan St.,Fr.,2016
14,SkalLabissiere,92,PF/C,Kentucky,Fr.,2016
15,DamianJones,92,C,Vanderbilt,Jr.,2016
16,BriceJohnson,92,PF,North Carolina,Sr.,2016
17,JakobPoeltl,95,C,Utah,So.,2016
18,HenryEllenson,91,PF/C,Marquette,Fr.,2016
19,MalachiRichardson,92,SG,Syracuse,Fr.,2016
20,DenzelValentine,91,SG/SF,Michigan St.,Sr.,2016
21,IvicaZubac,93,C,Mega Leks,1997,2016
22,CarisLeVert,90,SG,Michigan,Sr.,2016
23,PatrickMcCaw,91,SG,UNLV,So.,2016
24,GuerschonYabusele,91,PF,SPO Rouen,1995,2016
25,CheickDiallo,91,PF/C,Kansas,Fr.,2016
26,ThonMaker,90,PF/C,Australia,HSSr.,2016
27,TaureanPrince,90,SF,Baylor,Sr.,2016
28,JuanHernangomez,90,PF,Asefa Estudiantes,1995,2016
29,StephenZimmerman,91,PF/C,UNLV,Fr.,2016
30,DeAndreBembry,90,SG/SF,St. Joseph's,Jr.,2016
31,AnteZizic,90,C,Cibona Zagreb,1997,2016
32,TimotheLuwawu,90,SG/SF,Mega Leks,1995,2016
33,WadeBaldwin,89,PG/SG,Vanderbilt,So.,2016
34,MalcolmBrogdon,89,SG,Virginia,Sr.,2016
35,GaryPayton,90,PG/SG,Oregon St.,Sr.,2016
36,PascalSiakam,90,PF,New Mexico St.,So.,2016
37,DiamondStone,89,C,Maryland,Fr.,2016
38,DemetriusJackson,89,PG,Notre Dame,Jr.,2016
39,AnthonyBarber,90,PG,NC State,Jr.,2016
40,JoelBolomboy,90,PF,Weber St.,Sr.,2016
41,MichaelGbinije,92,SG/SF,Syracuse,Sr.,2016
42,KahlilFelder,87,PG,Oakland,Jr.,2016
43,IsaiahWhitehead,89,PG/SG,Seton Hall,So.,2016
44,DanielHamilton,88,SG/SF,UConn,So.,2016
45,TylerUlis,89,PG,Kentucky,So.,2016
46,IsaiahCousins,89,PG/SG,Oklahoma,Sr.,2016
47,BenBentil,89,PF,Providence,So.,2016
48,WayneSelden,90,SG,Kansas,Jr.,2016
49,GeorgiosPapagiannis,89,C,Panathinaikos,1997,2016
50,ZhouQi,86,PF/C,Xinjiang,1996,2016
51,AJHammons,90,C,Purdue,Sr.,2016
52,PerryEllis,88,PF,Kansas,Sr.,2016
53,ZachAuguste,89,PF,Notre Dame,Sr.,2016
54,DanuelHouse,86,SG/SF,Texas A&M,Sr.,2016
55,TroyWilliams,86,SF,Indiana,Jr.,2016
56,RonBaker,91,SG,Wichita State,Sr.,2016
57,JamesWebb,0,SF/PF,Boise State,Jr.,2016
58,IsaiaCordinier,85,SG,Denain,1996,2016
59,TyroneWallace,90,PG/SG,California,Sr.,2016
60,JulianJacobs,0,PG/SG,USC,Jr.,2016
61,PetrCornelie,85,PF/C,Le Mans,1995,2016
62,RadeZagorac,88,SG/SF,Mega Vizura,1995,2016
63,DerrickJones,85,SF,UNLV,Fr.,2016
64,IsaiahMiles,73,SF/PF,St. Joseph's,Sr.,2016
65,DorianFinney-Smith,86,SF/PF,Florida,Sr.,2016
66,ChrisObekpa,0,C,UNLV,Sr.,2016
67,GracinBakumanya,86,C,,1997,2016
68,MarcusPaige,88,PG,North Carolina,Sr.,2016
69,KyleWiltjer,84,PF,Gonzaga,Sr.,2016
70,IsaiahTaylor,91,PG,Texas,Jr.,2016
71,RobertCarter,85,PF,Maryland,Jr.,2016
72,SheldonMcClellan,86,SG,Miami,Sr.,2016
73,AlexPoythress,0,PF,Kentucky,Sr.,2016
74,JakeLayman,87,SF,Maryland,Sr.,2016
75,JarrodUthoff,87,PF,Iowa,Sr.,2016
76,DamionLee,85,SG,Louisville,Sr.,2016
77,JoshAdams,0,PG,Wyoming,Sr.,2016
78,GeorgesNiang,72,SF/PF,Iowa St.,Sr.,2016
79,PaulZipser,86,SF,Bayern Munich,1994,2016
80,YogiFerrell,85,PG,Indiana,Sr.,2016
81,KalebTarczewski,0,C,Arizona,Sr.,2016
82,DavidMichineau,88,PG,Chalon,1994,2016
83,TimQuarterman,0,SG,LSU,Jr.,2016
84,RoscoAllen,0,SF,Stanford,Jr.,2016
85,AJEnglish,0,PG/SG,Iona,Sr.,2016
86,OriolPauli,0,SG,Gran Canaria,1994,2016
87,DevinThomas,0,PF,Wake Forest,Sr.,2016
88,RyanAnderson,0,PF,Arizona,Sr.,2016
89,ChinanuOnuaku,85,C,Louisville,So.,2016
90,AnthonyGill,0,PF,Virginia,Sr.,2016
91,ShawnLong,0,PF,Louisiana Lafayette,Sr.,2016
92,JalenJones,0,SF,Texas A&M,Sr.,2016
93,TylerHarris,80,PF,Auburn,Sr.,2016
94,AndrewAndrews,0,SG,Washington,Sr.,2016
95,PrinceIbeh,85,C,Texas,Sr.,2016
96,StefanJankovic,0,PF,Hawaii,Jr.,2016
97,BrannenGreene,0,SG/SF,Kansas,Jr.,2016
98,D'VauntesSmith-Rivera,0,PG/SG,Georgetown,Sr.,2016
99,GoodluckOkonoboh,0,C,UNLV,So.,2016
100,EmmanuelMalou,0,SF/PF,JUCO,So.,2016
