,x,y,norm_sal,norm_pie,Year
1,17.0,2,0.09706925518013813,0.48717948717948717,1996
3,19.0,3,0.11526974052641403,0.28717948717948716,1996
4,10.0,4,0.18200485346275902,0.4256410256410257,1996
6,16.0,1,0.08493559828262087,0.38461538461538464,1996
8,11.0,3,0.4666791114429718,0.39999999999999997,1996
9,1.0,0,0.21159230912824342,0.5487179487179487,1996
10,2.0,4,0.8754900130670151,0.7948717948717948,1996
12,49.0,0,0.02053388090349076,0.27692307692307694,1996
13,34.0,1,0.025760686951652043,0.29743589743589743,1996
15,3.0,3,0.6211498973305954,0.7333333333333334,1996
16,52.0,2,0.02333395557214859,0.4358974358974359,1996
19,15.0,4,0.1437371663244353,0.4666666666666667,1996
21,6.0,0,0.15120403210752287,0.48205128205128206,1996
24,29.0,2,0.04853462759006907,0.2205128205128205,1996
25,2.0,1,0.23753966772447266,0.4923076923076923,1996
31,43.0,0,0.02053388090349076,0.11282051282051284,1996
35,3.0,5,0.3521560574948665,0.5025641025641026,1996
40,17.0,1,0.08064215045734553,0.5846153846153846,1996
41,7.0,3,0.2863543027814075,0.37435897435897436,1996
42,45.0,5,0.16875116669777862,0.4974358974358974,1996
44,15.0,1,0.0894157177524734,0.5076923076923077,1996
45,32.0,4,0.14933731566175099,0.40512820512820513,1996
48,27.0,0,0.051428038081015495,0.3435897435897436,1996
49,8.0,2,0.12068321821915251,0.45641025641025645,1996
51,27.0,2,0.1043494493186485,0.41538461538461535,1996
53,6.0,1,0.15820421877916743,0.4974358974358974,1996
54,13.0,4,0.31734179578122085,0.47692307692307695,1996
55,45.0,3,0.03593429158110883,0.42051282051282046,1996
58,6.0,3,0.29867463132350197,0.3435897435897436,1996
61,11.0,2,0.10677618069815195,0.5435897435897435,1996
67,26.0,2,0.0828822101922718,0.45128205128205134,1996
68,12.0,1,0.10425611349635991,0.317948717948718,1996
69,56.0,1,0.07000186671644577,0.45128205128205134,1996
72,16.0,5,0.28439425051334705,0.8307692307692307,1996
74,22.0,3,0.11526974052641403,0.558974358974359,1996
77,51.0,0,0.02053388090349076,0.23076923076923078,1996
78,1.0,3,0.7466865783087548,0.7692307692307693,1996
79,47.0,3,0.037334328915437746,0.6153846153846154,1996
80,3.0,4,0.4200112002986746,0.7282051282051282,1996
84,16.0,2,0.09706925518013813,0.41025641025641024,1996
86,25.0,3,0.11526974052641403,0.39999999999999997,1996
87,13.0,1,0.09809594922531267,0.42051282051282046,1996
88,29.0,1,0.048627963412357665,0.45641025641025645,1996
91,13.0,5,0.6074295314541721,0.558974358974359,1996
93,7.0,1,0.14439051708045547,0.6769230769230768,1996
101,38.0,2,0.023100616016427104,0.35384615384615387,1996
104,25.0,1,0.057308194885196936,0.37435897435897436,1996
109,46.0,-10,0.30334142243793166,0.3794871794871795,1996
114,24.0,0,0.05712152324061975,0.39999999999999997,1996
123,21.0,2,0.09706925518013813,0.19999999999999998,1996
124,4.0,5,0.7478999439985067,0.7487179487179487,1996
127,19.0,4,0.16613776367369795,0.46153846153846156,1996
128,58.0,1,0.037334328915437746,0.2205128205128205,1996
131,42.0,1,0.023100616016427104,0.06666666666666667,1996
132,39.0,1,0.042001120029867466,0.24615384615384614,1996
133,37.0,2,0.04666791114429718,0.3435897435897436,1996
134,4.0,2,0.3136083628896771,0.4974358974358974,1996
135,17.0,4,0.12647003920104535,0.5333333333333333,1996
136,40.0,5,0.023100616016427104,0.523076923076923,1996
142,9.0,1,0.12161657644203845,0.2512820512820513,1996
