,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter,norm_sal
63,Ed Gray,723840,1997,Shooting Guard,30,15.7,5.9,22.0,0,0.0353092682926829
64,Othella Harrington,326700,1997,Center and Power Forward,58,15.6,8.4,30.0,1,0.0159365853658536
65,Cedric Henderson,250000,1997,Small Forward,82,30.8,7.7,44.0,0,0.0121951219512195
66,Jerald Honeycutt,300000,1997,Power Forward,38,13.9,6.0,38.0,0,0.0146341463414634
67,Zydrunas Ilgauskas,828000,1997,Center,82,29.0,13.8,20.0,1,0.040390243902439
68,Allen Iverson,3128640,1997,Shooting Guard and Point Guard,80,39.4,13.5,1.0,1,0.1526165853658536
69,Bobby Jackson,694920,1997,Shooting Guard and Point Guard,68,30.1,9.8,23.0,0,0.0338985365853658
70,Anthony Johnson,242000,1997,Point Guard and Shooting Guard,77,29.4,5.5,39.0,0,0.0118048780487804
71,Dontae' Jones,794880,1997,Small Forward,15,6.1,-0.3,21.0,1,0.0387746341463414
72,Kerry Kittles,1559040,1997,Shooting Guard,77,36.5,11.3,8.0,1,0.076050731707317
73,Brevin Knight,949320,1997,Point Guard,80,31.1,13.0,16.0,0,0.0463082926829268
74,Travis Knight,2000000,1997,Center,74,20.3,7.9,29.0,1,0.0975609756097561
75,Priest Lauderdale,630000,1997,Center,39,8.9,5.8,28.0,1,0.0307317073170731
76,Jason Lawson,242250,1997,Center,17,4.6,12.7,41.0,0,0.0118170731707317
77,Randy Livingston,326700,1997,Point Guard,12,6.9,2.6,42.0,1,0.0159365853658536
78,Stephon Marbury,2266320,1997,Point Guard,82,38.0,10.8,4.0,1,0.1105521951219512
79,Walter McCarty,862560,1997,Small Forward and Power Forward,82,28.6,6.8,19.0,1,0.0420760975609756
80,Tracy McGrady,1359360,1997,Shooting Guard and Small Forward,64,18.4,11.1,9.0,0,0.066310243902439
81,Ron Mercer,1768320,1997,Small Forward and Shooting Guard,80,33.2,9.1,6.0,0,0.0862595121951219
82,Marko Milic,242000,1997,Shooting Guard and Small Forward,33,4.9,11.6,33.0,0,0.0118048780487804
83,Martin Muursepp,675120,1997,Power Forward,41,14.7,7.4,25.0,1,0.0329326829268292
84,Steve Nash,1053360,1997,Point Guard,76,21.9,11.5,15.0,1,0.0513834146341463
85,Jeff Nordgaard,242000,1997,Power Forward,13,3.7,6.5,53.0,1,0.0118048780487804
86,Charles O'Bannon,320000,1997,Shooting Guard,30,7.8,6.7,31.0,0,0.0156097560975609
87,Jermaine O'Neal,950640,1997,Power Forward and Center,60,13.5,7.7,17.0,1,0.0463726829268292
88,Anthony Parker,754080,1997,Shooting Guard and Small Forward,37,5.3,8.4,21.0,0,0.0367843902439024
89,Scot Pollard,818160,1997,Center,33,9.6,7.8,19.0,0,0.039910243902439
90,Mark Pope,242000,1997,Small Forward and Power Forward,28,6.8,-1.3,52.0,1,0.0118048780487804
91,Vitaly Potapenko,1228560,1997,Center,80,17.6,8.5,12.0,1,0.0599297560975609
92,Rodrick Rhodes,555900,1997,Small Forward and Shooting Guard,58,18.5,2.7,24.0,0,0.0271170731707317
93,Chris Robinson,325000,1997,Shooting Guard,35,11.9,4.8,51.0,1,0.0158536585365853
94,Roy Rogers,763080,1997,Power Forward,15,7.1,-0.3,22.0,1,0.0372234146341463
95,Malik Rose,272250,1997,Small Forward and Power Forward,53,8.1,4.4,44.0,1,0.013280487804878
96,God Shammgod,242250,1997,Point Guard,20,7.3,3.7,45.0,0,0.0118170731707317
97,Charles Smith,3957143,1997,Power Forward and Small Forward,34,8.6,5.0,26.0,0,0.1930313658536585
98,Charles Smith,619200,1997,Shooting Guard,34,8.6,5.0,26.0,0,0.1930313658536585
99,Kebu Stewart,242000,1997,Power Forward,15,7.5,9.1,35.0,0,0.0118048780487804
100,Johnny Taylor,901880,1997,Small Forward,12,8.9,-1.4,17.0,0,0.0439941463414634
101,Maurice Taylor,1051800,1997,Small Forward and Center and Power Forward,71,21.3,8.9,14.0,0,0.0513073170731707
102,John Thomas,640440,1997,Power Forward and Center,54,9.9,4.1,25.0,0,0.031240975609756
103,Tim Thomas,1614240,1997,Power Forward and Small Forward,77,23.1,9.0,7.0,0,0.0787434146341463
104,Keith Van Horn,2655360,1997,Power Forward and Small Forward,62,37.6,9.5,2.0,0,0.1295297560975609
105,Jacque Vaughn,601320,1997,Shooting Guard and Point Guard,45,9.3,4.2,27.0,0,0.0293326829268292
106,Antoine Walker,1864080,1997,Power Forward,82,39.9,12.6,6.0,1,0.090930731707317
107,Samaki Walker,1433040,1997,Power Forward and Center,41,25.1,9.9,9.0,1,0.0699043902439024
108,John Wallace,903120,1997,Small Forward,82,28.8,8.5,18.0,1,0.0440546341463414
109,Eric Washington,242000,1997,Shooting Guard,66,23.3,4.8,46.0,0,0.0118048780487804
110,Bubba Wells,260000,1997,Shooting Guard,39,10.0,6.8,34.0,0,0.0126829268292682
111,DeJuan Wheat,242000,1997,Point Guard,34,4.3,8.6,51.0,0,0.0118048780487804
112,DeJuan Wheat,20000,1997,Point Guard,34,4.3,8.6,51.0,0,0.0118048780487804
113,Alvin Williams,242000,1997,Shooting Guard and Point Guard,54,19.8,6.9,47.0,0,0.0118048780487804
114,Jerome Williams,652800,1997,Power Forward and Small Forward,77,16.9,10.8,26.0,1,0.0318439024390243
115,Lorenzen Wright,1701720,1997,Center,69,29.9,9.6,7.0,1,0.083010731707317
116,Tariq Abdul-Wahad,1411000,1998,Shooting Guard,49,24.5,5.9,11.0,1,0.0762702702702702
117,Ray Allen,2320000,1998,Shooting Guard,50,34.4,12.5,5.0,2,0.1254054054054054
118,Derek Anderson,1273000,1998,Shooting Guard and Small Forward and Point Guard,38,25.8,13.5,13.0,1,0.0688108108108108
119,Shandon Anderson,1300000,1998,Small Forward and Shooting Guard,50,21.4,9.4,54.0,2,0.0702702702702702
120,Chris Anstey,985200,1998,Center,41,11.5,2.9,18.0,1,0.053254054054054
121,Toby Bailey,287500,1998,Shooting Guard,27,9.2,6.2,45.0,0,0.0155405405405405
122,Drew Barry,350000,1998,Shooting Guard and Point Guard,17,10.8,6.0,57.0,2,0.0189189189189189
123,Tony Battie,2238000,1998,Center and Power Forward,50,22.4,10.8,5.0,1,0.1209729729729729
124,Corey Benjamin,540000,1998,Shooting Guard and Point Guard,31,10.3,2.6,28.0,0,0.0291891891891891
125,Mike Bibby,2400000,1998,Point Guard,50,35.1,10.0,2.0,0,0.1297297297297297
126,Chauncey Billups,2742000,1998,Point Guard and Shooting Guard,45,33.1,8.1,3.0,1,0.1482162162162162
127,Keith Booth,687240,1998,Small Forward,39,11.0,3.8,28.0,1,0.0371481081081081
128,Kobe Bryant,1319000,1998,Shooting Guard and Small Forward,50,37.9,13.1,13.0,2,0.0712972972972973
129,Marcus Camby,3164000,1998,Center and Power Forward,46,20.6,11.1,2.0,2,0.171027027027027
130,Cory Carr,287500,1998,Shooting Guard,42,14.8,2.5,49.0,0,0.0155405405405405
131,Vince Carter,1760000,1998,Small Forward and Shooting Guard,50,35.2,12.8,5.0,0,0.0951351351351351
132,Kelvin Cato,1149000,1998,Center and Power Forward,43,12.7,8.3,15.0,1,0.0621081081081081
133,Keon Clark,1000000,1998,Power Forward and Center,28,14.6,6.6,13.0,0,0.054054054054054
134,Chris Crawford,350000,1998,Power Forward,42,18.6,4.4,50.0,1,0.0189189189189189
135,Austin Croshere,1340000,1998,Power Forward,27,9.3,7.3,12.0,1,0.0724324324324324
136,Erick Dampier,1538000,1998,Center,50,28.3,6.4,10.0,2,0.0831351351351351
137,Antonio Daniels,2472000,1998,Shooting Guard and Point Guard,47,13.1,13.4,4.0,1,0.1336216216216216
138,Ben Davis,425000,1998,Power Forward,8,2.5,13.5,43.0,2,0.0229729729729729
139,Ricky Davis,680000,1998,Small Forward and Shooting Guard,46,12.2,8.4,21.0,0,0.0367567567567567
140,Tony Delk,1131000,1998,Shooting Guard and Point Guard,36,17.5,7.7,16.0,2,0.0611351351351351
141,Michael Dickerson,949600,1998,Shooting Guard,50,31.1,6.3,14.0,0,0.0513297297297297
142,Michael Doleac,1050000,1998,Center,49,15.9,7.0,12.0,0,0.0567567567567567
143,Bryce Drew,857000,1998,Point Guard,34,13.0,3.0,16.0,0,0.0463243243243243
144,Tim Duncan,3413000,1998,Center and Power Forward,50,39.3,17.0,1.0,1,0.1844864864864865
145,Brian Evans,686780,1998,Small Forward,16,8.9,10.6,27.0,2,0.0371232432432432
146,Jamie Feick,425000,1998,Power Forward and Center,28,30.4,9.6,48.0,2,0.0229729729729729
147,Derek Fisher,795000,1998,Point Guard and Shooting Guard,50,22.6,8.6,24.0,2,0.0429729729729729
148,Danny Fortson,1485000,1998,Center and Power Forward,50,28.4,11.9,10.0,1,0.0802702702702702
149,Adonal Foyle,1701000,1998,Center,44,13.9,8.1,8.0,1,0.0919459459459459
150,Todd Fuller,1461000,1998,Center,42,11.1,6.0,11.0,2,0.0789729729729729
151,Pat Garrity,740000,1998,Power Forward and Small Forward,39,13.8,7.3,19.0,0,0.04
152,Paul Grant,903240,1998,Center,6,2.2,-8.0,20.0,1,0.0488237837837837
153,Ed Gray,832440,1998,Shooting Guard,30,11.2,-0.3,22.0,1,0.0449967567567567
154,Matt Harpring,900000,1998,Shooting Guard and Small Forward,50,22.3,8.2,15.0,0,0.0486486486486486
