,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter,norm_sal
1549,Jason Williams,6875000,2004,Point Guard,71,27.5,10.9,7.0,6,0.2482269375511573
1550,Jerome Williams,6187500,2004,Power Forward and Small Forward,79,15.3,8.4,26.0,8,0.2234042437960416
1551,Mo Williams,1600000,2004,Point Guard and Shooting Guard,80,28.3,9.7,47.0,1,0.0577691781937238
1552,Loren Woods,755000,2004,Center,45,15.6,7.4,45.0,3,0.0272598309601634
1553,Qyntel Woods,1127280,2004,Small Forward and Power Forward,3,13.1,2.8,21.0,2,0.0407012744963881
1554,Metta World Peace,6157895,2004,Small Forward,7,41.4,16.6,16.0,5,0.2223353334707758
1555,Dorell Wright,1152240,2004,Small Forward,3,9.2,3.0,19.0,0,0.0416024736762102
1556,Lorenzen Wright,7150000,2004,Center,80,28.6,9.9,7.0,8,0.2581560150532036
1557,Shareef Abdur-Rahim,5000000,2005,Center and Small Forward and Power Forward,72,27.2,11.2,3.0,9,0.25
1558,Alex Acker,398762,2005,Shooting Guard,5,7.0,-1.2,60.0,0,0.0199381
1559,Ray Allen,13223140,2005,Shooting Guard,78,38.7,13.7,5.0,9,0.661157
1560,Tony Allen,969696,2005,Shooting Guard and Small Forward and Point Guard,51,19.2,7.7,25.0,1,0.0484848
1561,Rafer Alston,3850000,2005,Point Guard,63,38.6,9.4,39.0,7,0.1925
1562,Derek Anderson,9093000,2005,Shooting Guard and Small Forward and Point Guard,43,24.3,8.3,13.0,8,0.45465
1563,Derek Anderson,1670000,2005,Shooting Guard and Small Forward and Point Guard,43,24.3,8.3,13.0,8,0.45465
1564,Shandon Anderson,7900000,2005,Small Forward and Shooting Guard,48,13.3,3.7,54.0,9,0.395
1565,Shandon Anderson,1035000,2005,Small Forward and Shooting Guard,48,13.3,3.7,54.0,9,0.395
1566,Martynas Andriuskevicius,398762,2005,Center,6,1.6,15.2,44.0,0,0.0199381
1567,Carmelo Anthony,3713640,2005,Small Forward and Power Forward,80,36.8,13.9,3.0,2,0.185682
1568,Rafael Araujo,2238960,2005,Center,52,11.6,1.7,8.0,1,0.111948
1569,Gilbert Arenas,10243200,2005,Point Guard,80,42.3,14.7,30.0,4,0.51216
1570,Trevor Ariza,682051,2005,Small Forward and Shooting Guard,57,17.5,8.5,43.0,1,0.03410255
1571,Marcus Banks,1724280,2005,Point Guard,58,25.8,9.4,13.0,2,0.086214
1572,Leandro Barbosa,930600,2005,Point Guard and Shooting Guard,57,27.9,8.8,28.0,2,0.04653
1573,Matt Barnes,552269,2005,Small Forward and Power Forward,56,11.3,6.0,45.0,3,0.02761345
1574,Matt Barnes,131593,2005,Small Forward and Power Forward,56,11.3,6.0,45.0,3,0.02761345
1575,Brandon Bass,398762,2005,Power Forward and Center,29,9.3,8.0,33.0,0,0.0199381
1576,Tony Battie,5200000,2005,Center and Power Forward,82,27.0,7.4,5.0,8,0.26
1577,Shane Battier,4903000,2005,Small Forward and Shooting Guard,81,35.1,9.3,6.0,4,0.24515
1578,Lonny Baxter,745248,2005,Power Forward and Center,41,9.8,7.5,43.0,3,0.0372624
1579,Jonathan Bender,7175000,2005,Small Forward,2,10.3,16.9,5.0,6,0.35875
1580,Mike Bibby,11500000,2005,Point Guard,82,38.6,11.7,2.0,7,0.575
1581,Andris Biedrins,1857360,2005,Center,68,14.7,6.8,11.0,1,0.092868
1582,Chauncey Billups,5909800,2005,Point Guard and Shooting Guard,81,36.1,16.2,3.0,8,0.29549
1583,Steve Blake,1000000,2005,Point Guard,68,26.2,9.9,38.0,2,0.05
1584,Andray Blatche,398762,2005,Center and Power Forward,29,6.1,5.0,49.0,0,0.0199381
1585,Mark Blount,5515875,2005,Center,81,27.6,7.7,54.0,8,0.27579375
1586,Keith Bogans,869373,2005,Small Forward and Shooting Guard,72,26.6,7.3,43.0,2,0.04346865
1587,Andrew Bogut,4340520,2005,Power Forward and Center,82,28.6,10.4,1.0,0,0.217026
1588,Matt Bonner,2000000,2005,Power Forward and Center,78,21.9,7.6,45.0,2,0.1
1589,Calvin Booth,6354600,2005,Center,33,7.6,4.1,35.0,6,0.31773
1590,Calvin Booth,900498,2005,Center,33,7.6,4.1,35.0,6,0.31773
1591,Carlos Boozer,11593816,2005,Center and Power Forward,33,31.1,15.1,34.0,3,0.5796908
1592,Chris Bosh,3348000,2005,Power Forward and Center,70,39.3,14.8,4.0,2,0.1674
1593,Ryan Bowen,900498,2005,Small Forward and Power Forward and Shooting Guard,68,9.6,1.2,55.0,7,0.0450249
1594,Michael Bradley,819550,2005,Power Forward and Center,46,8.0,7.1,17.0,4,0.0409775
1595,Elton Brand,13152000,2005,Power Forward and Center,79,39.2,17.6,1.0,6,0.6576
1596,Primoz Brezec,2750000,2005,Center,79,27.4,9.2,27.0,5,0.1375
1597,Kwame Brown,7500000,2005,Center and Power Forward,72,27.5,7.3,1.0,4,0.375
1598,Kobe Bryant,15946875,2005,Shooting Guard and Small Forward,80,41.0,18.1,13.0,9,0.79734375
1599,Greg Buckner,1925926,2005,Shooting Guard and Small Forward,73,24.1,7.6,53.0,7,0.0962963
1600,Greg Buckner,1670000,2005,Shooting Guard and Small Forward,73,24.1,7.6,53.0,7,0.0962963
1601,Antonio Burks,641748,2005,Point Guard,57,10.0,4.0,36.0,1,0.0320874
1602,Caron Butler,2461617,2005,Small Forward and Shooting Guard,75,36.1,11.7,10.0,3,0.12308085
1603,Rasual Butler,1300000,2005,Shooting Guard and Small Forward,79,23.7,6.7,52.0,3,0.065
1604,Andrew Bynum,1888680,2005,Center,46,7.4,2.0,10.0,0,0.094434
1605,Zarko Cabarkapa,1404360,2005,Power Forward,61,8.3,4.8,17.0,2,0.070218
1606,Marcus Camby,9150000,2005,Center and Power Forward,56,33.2,15.3,2.0,9,0.4575
1607,Brian Cardinal,5393300,2005,Power Forward and Small Forward,36,11.2,5.8,44.0,5,0.269665
1608,Vince Carter,13843156,2005,Small Forward and Shooting Guard,79,36.8,14.8,5.0,7,0.6921578
1609,Kelvin Cato,8640000,2005,Center and Power Forward,27,12.3,5.3,15.0,8,0.432
1610,Tyson Chandler,9000000,2005,Center and Power Forward,79,26.8,8.3,2.0,4,0.45
1611,Josh Childress,2677200,2005,Shooting Guard and Small Forward,74,30.4,10.6,6.0,1,0.13386
1612,Speedy Claxton,3600000,2005,Point Guard,71,28.4,11.5,20.0,5,0.18
1613,Mateen Cleaves,305784,2005,Point Guard,27,8.5,5.4,14.0,5,0.0152892
1614,Jarron Collins,1700000,2005,Center,79,21.9,6.8,52.0,4,0.085
1615,Jason Collins,5500000,2005,Power Forward and Center,71,26.7,3.0,18.0,4,0.275
1616,Nick Collison,1815000,2005,Power Forward and Center,66,21.9,8.0,12.0,2,0.09075
1617,Brian Cook,1038960,2005,Power Forward and Center,81,19.0,9.3,24.0,2,0.051948
1618,Jamal Crawford,6480000,2005,Shooting Guard and Point Guard,79,32.3,11.5,8.0,5,0.324
1619,Austin Croshere,7900000,2005,Power Forward,50,23.0,11.6,12.0,8,0.395
1620,Eddy Curry,7390000,2005,Power Forward and Center,72,25.9,9.9,4.0,4,0.3695
1621,Samuel Dalembert,8470000,2005,Center,66,26.7,8.8,26.0,4,0.4235
1622,Erick Dampier,8662500,2005,Center,82,23.6,8.2,10.0,9,0.433125
1623,Antonio Daniels,5000000,2005,Shooting Guard and Point Guard,80,28.5,10.0,4.0,8,0.25
1624,Baron Davis,13700000,2005,Point Guard,54,36.5,12.7,3.0,6,0.685
1625,Ricky Davis,5909800,2005,Small Forward and Shooting Guard,78,41.1,11.2,21.0,7,0.29549
1626,Carlos Delfino,969696,2005,Shooting Guard and Small Forward,68,10.7,6.2,25.0,2,0.0484848
1627,Tony Delk,3375000,2005,Shooting Guard and Point Guard,24,16.0,10.6,16.0,9,0.16875
1628,Luol Deng,2443920,2005,Power Forward and Small Forward,78,33.4,12.5,7.0,1,0.122196
1629,Boris Diaw,1174200,2005,Power Forward and Shooting Guard,81,35.5,11.6,21.0,2,0.05871
1630,Dan Dickau,2250000,2005,Point Guard,19,12.3,5.1,28.0,3,0.1125
1631,Travis Diener,398762,2005,Point Guard,23,10.7,8.1,38.0,0,0.0199381
1632,Ike Diogu,1988160,2005,Power Forward,69,14.9,9.2,9.0,0,0.099408
1633,DeSagana Diop,1850000,2005,Power Forward and Center,81,18.6,5.1,8.0,4,0.0925
1634,Juan Dixon,2500000,2005,Point Guard and Shooting Guard,76,25.3,9.0,17.0,3,0.125
1635,Michael Doleac,2640000,2005,Center,31,12.0,7.3,12.0,7,0.132
1636,Keyon Dooling,3100000,2005,Shooting Guard and Point Guard,50,22.7,8.2,10.0,5,0.155
1637,Chris Duhon,2800000,2005,Point Guard,74,29.1,10.3,38.0,1,0.14
1638,Tim Duncan,15845156,2005,Center and Power Forward,80,34.8,17.2,1.0,8,0.7922578
1639,Mike Dunleavy,4506261,2005,Small Forward and Shooting Guard and Power Forward,81,31.8,8.9,3.0,3,0.22531305
1640,Monta Ellis,448762,2005,Shooting Guard,49,18.1,8.2,40.0,0,0.0224381
1641,Francisco Elson,719373,2005,Center,72,21.9,6.3,41.0,6,0.03596865
1642,Melvin Ely,2401027,2005,Power Forward and Center,57,23.7,9.4,12.0,3,0.12005135
1643,Daniel Ewing,450000,2005,Shooting Guard and Point Guard,66,14.7,4.9,32.0,0,0.0225
1644,Raymond Felton,2847360,2005,Point Guard and Shooting Guard,80,30.1,9.7,5.0,0,0.142368
1645,Derek Fisher,5393300,2005,Point Guard and Shooting Guard,82,31.6,10.0,24.0,9,0.269665
1646,T.J. Ford,2303040,2005,Point Guard,72,35.5,9.9,8.0,2,0.115152
1647,Danny Fortson,6207670,2005,Center and Power Forward,23,12.0,2.6,10.0,8,0.3103835
1648,Jeff Foster,5000000,2005,Center,63,25.1,10.7,21.0,6,0.25
1649,Adonal Foyle,7312500,2005,Center,77,23.7,6.4,8.0,8,0.365625
1650,Steve Francis,13700000,2005,Shooting Guard and Point Guard,70,34.2,10.9,2.0,6,0.685
1651,Channing Frye,2162880,2005,Center and Power Forward,65,24.2,12.2,8.0,0,0.108144
1652,Dan Gadzuric,4750000,2005,Center and Power Forward,74,12.0,8.9,33.0,3,0.2375
1653,Reece Gaines,1556160,2005,Point Guard,12,4.5,3.7,15.0,2,0.077808
1654,Francisco Garcia,1016400,2005,Small Forward and Shooting Guard,67,19.4,6.9,23.0,0,0.05082
1655,Pat Garrity,3231250,2005,Power Forward and Small Forward,57,16.5,5.3,19.0,7,0.1615625
1656,Pau Gasol,10993000,2005,Center and Power Forward,80,39.2,16.6,3.0,4,0.54965
1657,Devean George,5000600,2005,Small Forward,71,21.7,7.5,23.0,6,0.25003
1658,Manu Ginobili,7428937,2005,Shooting Guard,65,27.9,14.8,57.0,6,0.37144685
1659,Gordan Giricek,4000000,2005,Small Forward and Shooting Guard,37,25.8,5.9,40.0,6,0.2
1660,Ryan Gomes,428762,2005,Power Forward and Small Forward,61,22.6,10.1,50.0,0,0.0214381
1661,Drew Gooden,4065811,2005,Small Forward and Center and Power Forward,79,27.5,11.9,4.0,3,0.20329055
1662,Ben Gordon,3610200,2005,Shooting Guard,80,31.0,9.6,3.0,1,0.18051
1663,Joey Graham,1388400,2005,Small Forward,80,19.8,5.6,16.0,0,0.06942
1664,Danny Granger,1318920,2005,Small Forward,78,22.6,9.9,17.0,0,0.065946
1665,Gerald Green,1253040,2005,Shooting Guard and Small Forward,32,11.7,8.5,18.0,0,0.062652
1666,Orien Greene,398762,2005,Point Guard and Shooting Guard,80,15.4,3.9,53.0,0,0.0199381
1667,Eddie Griffin,2500000,2005,Power Forward and Center,70,19.4,8.8,7.0,4,0.125
1668,Richard Hamilton,8625000,2005,Small Forward and Shooting Guard,80,35.3,11.5,7.0,6,0.43125
1669,Matt Harpring,5020000,2005,Shooting Guard and Small Forward,71,27.4,10.5,15.0,7,0.251
1670,Al Harrington,6957500,2005,Power Forward and Center and Small Forward,76,36.6,10.5,25.0,7,0.347875
1671,Othella Harrington,3500000,2005,Center and Power Forward,72,11.4,6.0,30.0,9,0.175
1672,Devin Harris,2947440,2005,Point Guard and Shooting Guard,56,22.8,11.8,5.0,1,0.147372
1673,David Harrison,898200,2005,Center,67,15.4,5.6,29.0,1,0.04491
1674,Jason Hart,1540000,2005,Point Guard,66,12.4,4.7,49.0,5,0.077
1675,Trenton Hassell,4350000,2005,Shooting Guard and Small Forward,77,32.7,5.8,29.0,4,0.2175
1676,Jarvis Hayes,2011080,2005,Shooting Guard and Small Forward,21,24.6,8.3,10.0,2,0.100554
1677,Brendan Haywood,4000000,2005,Center,79,23.8,7.4,20.0,4,0.2
1678,Luther Head,975600,2005,Point Guard and Shooting Guard,80,28.9,8.7,24.0,0,0.04878
1679,Nene,3039889,2005,Power Forward and Center,1,2.6,-53.3,7.0,3,0.15199445
1680,Kirk Hinrich,2513880,2005,Point Guard and Shooting Guard,81,36.5,11.5,7.0,2,0.125694
1681,Julius Hodge,1148760,2005,Shooting Guard,14,2.4,-2.5,20.0,0,0.057438
1682,Randy Holcomb,52033,2005,Small Forward,4,2.6,1.2,56.0,3,0.00260165
1683,Eddie House,835810,2005,Shooting Guard and Point Guard,81,17.5,9.7,37.0,5,0.0417905
1684,Dwight Howard,4493160,2005,Power Forward and Center,82,36.8,13.8,1.0,1,0.224658
1685,Josh Howard,923880,2005,Small Forward,59,32.5,12.3,29.0,2,0.046194
1686,Larry Hughes,10344900,2005,Shooting Guard and Point Guard and Small Forward,36,35.6,8.6,8.0,7,0.517245
1687,Kris Humphries,1592400,2005,Small Forward and Power Forward,62,10.0,6.8,14.0,1,0.07962
1688,Steven Hunter,2800000,2005,Power Forward and Center,69,19.0,7.7,15.0,4,0.14
1689,Andre Iguodala,2058000,2005,Small Forward and Shooting Guard,82,37.6,10.0,9.0,1,0.1029
1690,Zydrunas Ilgauskas,8740000,2005,Center,78,29.3,13.3,20.0,9,0.437
1691,Allen Iverson,16453125,2005,Shooting Guard and Point Guard,72,43.1,16.3,1.0,9,0.82265625
1692,Royal Ivey,641748,2005,Shooting Guard and Point Guard,73,13.4,3.7,37.0,1,0.0320874
1693,Jarrett Jack,1058640,2005,Shooting Guard and Point Guard,79,20.2,9.5,22.0,0,0.052932
1694,Bobby Jackson,3375000,2005,Shooting Guard and Point Guard,71,25.0,10.2,23.0,8,0.16875
1695,Luke Jackson,1955160,2005,Small Forward,36,8.8,4.7,10.0,1,0.097758
1696,Marc Jackson,4550000,2005,Power Forward and Center,64,16.0,7.9,37.0,8,0.2275
1697,Stephen Jackson,5610000,2005,Small Forward and Shooting Guard and Power Forward,81,35.9,9.4,42.0,8,0.2805
1698,Jerome James,5000000,2005,Center,45,9.0,0.0,36.0,7,0.25
1699,LeBron James,4621800,2005,Shooting Guard and Small Forward and Power Forward,79,42.5,19.2,1.0,2,0.23109
1700,Antawn Jamison,13843156,2005,Power Forward and Small Forward,82,40.1,12.9,4.0,7,0.6921578
1701,Marko Jaric,5000000,2005,Shooting Guard and Small Forward and Point Guard,75,28.0,8.2,30.0,5,0.25
1702,Al Jefferson,1512840,2005,Power Forward and Center,59,18.0,11.3,15.0,1,0.075642
1703,Richard Jefferson,10200000,2005,Small Forward,78,39.2,14.5,13.0,4,0.51
1704,Jared Jeffries,2433824,2005,Small Forward and Power Forward,77,25.3,6.4,11.0,3,0.1216912
1705,Amir Johnson,398762,2005,Center and Small Forward and Power Forward,3,12.9,8.4,56.0,0,0.0199381
1706,Anthony Johnson,2420000,2005,Point Guard and Shooting Guard,75,26.4,10.4,39.0,8,0.121
1707,DerMarr Johnson,835810,2005,Shooting Guard and Small Forward,58,15.9,7.3,6.0,5,0.0417905
1708,Joe Johnson,12000000,2005,Shooting Guard and Small Forward,82,40.7,12.5,10.0,4,0.6
1709,Dahntay Jones,1223160,2005,Small Forward and Shooting Guard,71,13.6,4.4,20.0,2,0.061158
1710,Fred Jones,2328843,2005,Small Forward and Shooting Guard,68,27.0,8.3,14.0,3,0.11644215
1711,James Jones,2400000,2005,Shooting Guard and Small Forward,75,23.6,7.7,49.0,2,0.12
1712,Jumaine Jones,1875000,2005,Small Forward and Shooting Guard and Power Forward,76,27.5,7.7,27.0,6,0.09375
1713,Chris Kaman,2753760,2005,Center,78,32.8,11.1,6.0,2,0.137688
1714,Jason Kapono,1100000,2005,Small Forward and Shooting Guard,51,13.0,5.5,31.0,2,0.055
1715,Mario Kasun,682050,2005,Center,28,7.6,1.2,40.0,3,0.0341025
1716,Viktor Khryapa,1095960,2005,Small Forward and Power Forward,69,21.6,6.2,22.0,1,0.054798
1717,Andrei Kirilenko,10983000,2005,Small Forward and Power Forward,69,37.7,15.2,24.0,6,0.54915
1718,Linas Kleiza,879360,2005,Small Forward and Power Forward,61,8.5,7.1,27.0,0,0.043968
1719,Brevin Knight,4600000,2005,Point Guard,69,34.1,12.6,16.0,8,0.23
1720,Yaroslav Korolev,1704480,2005,Small Forward,24,5.3,2.5,12.0,0,0.085224
1721,Kyle Korver,3630363,2005,Small Forward and Shooting Guard and Power Forward,82,31.3,7.7,51.0,2,0.18151815
1722,Nenad Krstic,1010040,2005,Center and Power Forward,80,30.9,8.9,24.0,3,0.050502
1723,Raef LaFrentz,10623288,2005,Power Forward and Center,82,24.8,7.4,3.0,7,0.5311644
1724,Maciej Lampe,900000,2005,Center,6,4.6,-4.1,30.0,2,0.045
1725,David Lee,861360,2005,Power Forward and Center and Small Forward,67,16.8,10.4,30.0,0,0.043068
1726,Rashard Lewis,8571429,2005,Small Forward and Power Forward,78,36.9,11.5,32.0,7,0.42857145
1727,Shaun Livingston,3254880,2005,Shooting Guard and Point Guard,61,25.0,7.5,4.0,1,0.162744
1728,Tyronn Lue,3500000,2005,Point Guard,51,24.2,10.4,23.0,7,0.175
1729,Mark Madsen,2000000,2005,Center and Power Forward,62,10.9,1.5,29.0,5,0.1
1730,Corey Maggette,7000000,2005,Power Forward and Shooting Guard and Small Forward,32,29.5,12.6,13.0,6,0.35
1731,Jamaal Magloire,8533333,2005,Center,82,30.1,7.8,19.0,5,0.42666665
1732,Stephon Marbury,16453125,2005,Point Guard,60,36.6,12.0,4.0,9,0.82265625
1733,Shawn Marion,13700000,2005,Small Forward and Power Forward,81,40.3,15.9,9.0,6,0.685
1734,Sean Marks,835810,2005,Power Forward and Center,25,7.2,12.3,44.0,7,0.0417905
1735,Kenyon Martin,10636364,2005,Power Forward and Center,56,27.6,11.2,1.0,5,0.5318182
1736,Kevin Martin,937440,2005,Point Guard and Shooting Guard,72,26.6,9.9,26.0,1,0.046872
1737,Desmond Mason,7333333,2005,Small Forward and Shooting Guard,70,30.0,6.1,17.0,5,0.36666665
1738,Jason Maxiell,905640,2005,Center and Power Forward,26,6.1,1.3,26.0,0,0.045282
1739,Sean May,1619280,2005,Power Forward and Center,23,17.3,10.2,13.0,0,0.080964
1740,Rashad McCants,1538400,2005,Shooting Guard,79,17.2,7.5,14.0,0,0.07692
1741,Walter McCarty,1035000,2005,Small Forward and Power Forward,36,9.8,3.7,19.0,9,0.05175
1742,Tracy McGrady,15694250,2005,Shooting Guard and Small Forward,47,37.1,15.9,9.0,8,0.7847125
1743,Jeff McInnis,3400000,2005,Point Guard and Shooting Guard,28,17.4,7.3,37.0,9,0.17
1744,Chris Mihm,3792817,2005,Power Forward and Center,59,26.1,8.8,7.0,5,0.18964085
1745,Darius Miles,7250000,2005,Small Forward,40,32.1,8.2,3.0,5,0.3625
1746,Darko Milicic,4135200,2005,Power Forward and Center,55,13.9,9.6,2.0,2,0.20676
1747,Andre Miller,8100000,2005,Point Guard and Shooting Guard,82,35.8,11.7,8.0,6,0.405
1748,Mike Miller,6750000,2005,Shooting Guard and Small Forward,74,30.6,14.1,5.0,5,0.3375
1749,Yao Ming,5594906,2005,Center,57,34.2,18.3,1.0,3,0.2797453
1750,Cuttino Mobley,7200000,2005,Shooting Guard and Point Guard,79,37.7,8.9,41.0,7,0.36
1751,Nazr Mohammed,5500000,2005,Center,80,17.4,9.0,29.0,7,0.275
1752,Sergei Monia,1016400,2005,Small Forward,26,13.2,3.6,23.0,1,0.05082
1753,Terence Morris,835810,2005,Small Forward,22,8.7,4.3,33.0,4,0.0417905
1754,Troy Murphy,7365079,2005,Power Forward,74,34.0,12.0,14.0,4,0.36825395
1755,Bostjan Nachbar,2500000,2005,Power Forward and Small Forward,36,13.9,3.8,15.0,3,0.125
1756,Lee Nailon,835810,2005,Small Forward and Power Forward,22,10.8,7.6,43.0,6,0.0417905
1757,Eduardo Najera,4190476,2005,Power Forward and Small Forward,64,22.6,6.9,38.0,5,0.2095238
1758,Steve Nash,9625000,2005,Point Guard,79,35.4,16.6,15.0,9,0.48125
1759,Jameer Nelson,1189200,2005,Point Guard,62,28.8,12.8,20.0,1,0.05946
1760,Rasho Nesterovic,6720000,2005,Center,80,18.9,6.2,17.0,7,0.336
1761,Moochie Norris,4200000,2005,Point Guard,45,9.4,7.1,33.0,9,0.21
1762,Dirk Nowitzki,13843156,2005,Power Forward and Center,81,38.1,20.5,9.0,7,0.6921578
1763,Jermaine O'Neal,16440000,2005,Power Forward and Center,51,35.3,15.2,17.0,9,0.822
1764,Lamar Odom,11465333,2005,Small Forward and Power Forward,80,40.3,13.0,4.0,6,0.57326665
1765,Emeka Okafor,4020120,2005,Power Forward and Center,26,33.6,10.2,2.0,1,0.201006
1766,Mehmet Okur,8250000,2005,Power Forward and Center,82,35.9,14.4,37.0,4,0.4125
1767,Michael Olowokandi,5900400,2005,Center,48,19.1,6.3,1.0,7,0.29502
1768,Travis Outlaw,1082160,2005,Power Forward and Small Forward,69,16.7,7.9,23.0,2,0.054108
1769,Zaza Pachulia,4000000,2005,Center,78,31.4,8.7,42.0,2,0.2
1770,Scott Padgett,1670000,2005,Power Forward,62,11.6,9.1,28.0,6,0.0835
1771,Tony Parker,8400000,2005,Point Guard,80,33.9,15.4,28.0,4,0.42
1772,Ruben Patterson,6353200,2005,Shooting Guard and Small Forward,71,25.2,9.3,31.0,7,0.31766
1773,Chris Paul,3144240,2005,Point Guard,78,36.0,16.1,4.0,0,0.157212
1774,Sasha Pavlovic,1274160,2005,Small Forward and Shooting Guard,53,15.3,3.0,19.0,2,0.063708
1775,Kendrick Perkins,936480,2005,Center,68,19.6,8.1,27.0,2,0.046824
1776,Morris Peterson,4550000,2005,Small Forward and Shooting Guard,82,38.3,9.3,21.0,5,0.2275
1777,Johan Petro,936600,2005,Center,68,18.9,4.7,25.0,0,0.04683
1778,Paul Pierce,13843156,2005,Shooting Guard and Small Forward,79,39.0,16.0,10.0,7,0.6921578
1779,Mickael Pietrus,1910520,2005,Point Guard and Small Forward and Shooting Guard,52,22.7,5.2,11.0,2,0.095526
1780,Zoran Planinic,1127280,2005,Point Guard and Shooting Guard,56,10.6,4.2,22.0,2,0.056364
1781,Pavel Podkolzin,1141560,2005,Center,1,18.1,10.9,21.0,1,0.057078
1782,Scot Pollard,6274937,2005,Center,45,17.1,7.6,19.0,8,0.31374685
1783,James Posey,5900400,2005,Power Forward and Shooting Guard and Small Forward,67,28.6,6.9,18.0,6,0.29502
1784,Vitaly Potapenko,3320000,2005,Center,33,10.7,3.2,12.0,9,0.166
1785,Tayshaun Prince,1763115,2005,Small Forward,82,35.3,9.9,23.0,3,0.08815575
1786,Laron Profit,745248,2005,Small Forward and Shooting Guard and Point Guard,25,11.2,10.4,38.0,6,0.0372624
1787,Joel Przybilla,1560000,2005,Center,56,24.9,9.0,9.0,5,0.078
1788,Vladimir Radmanovic,3166155,2005,Small Forward and Power Forward,77,25.6,9.0,12.0,4,0.15830775
1789,Zach Randolph,10666667,2005,Power Forward and Center,74,34.4,11.4,19.0,4,0.53333335
1790,Michael Redd,12000000,2005,Shooting Guard and Small Forward,80,39.1,13.8,43.0,5,0.6
1791,Justin Reed,641748,2005,Small Forward and Power Forward,72,13.8,2.6,40.0,1,0.0320874
1792,Jason Richardson,8888888,2005,Small Forward and Shooting Guard,75,38.4,12.4,5.0,4,0.4444444
1793,Quentin Richardson,6940000,2005,Shooting Guard and Small Forward,55,26.2,6.2,18.0,5,0.347
1794,Luke Ridnour,1638000,2005,Point Guard and Shooting Guard,79,33.2,10.2,14.0,2,0.0819
1795,Lawrence Roberts,398762,2005,Center and Power Forward,33,5.5,6.1,55.0,0,0.0199381
1796,Bernard Robinson,641748,2005,Small Forward and Shooting Guard,66,19.7,7.9,45.0,1,0.0320874
1797,Nate Robinson,1102680,2005,Point Guard,72,21.4,7.1,21.0,0,0.055134
1798,Malik Rose,6008750,2005,Small Forward and Power Forward,72,15.5,6.4,44.0,9,0.3004375
1799,Michael Ruffin,1670000,2005,Center and Power Forward,76,13.3,3.2,32.0,6,0.0835
1800,Kareem Rush,3000000,2005,Shooting Guard and Point Guard,47,23.6,6.0,20.0,3,0.15
1801,John Salmons,1669001,2005,Shooting Guard and Small Forward and Point Guard,82,25.1,6.9,26.0,3,0.08345005
1802,Jamal Sampson,719373,2005,Center and Power Forward,12,3.2,28.7,46.0,3,0.03596865
1803,Brian Scalabrine,2586207,2005,Power Forward and Center,71,13.2,3.3,34.0,4,0.12931035
1804,Wayne Simien,867720,2005,Power Forward,43,9.6,6.5,29.0,0,0.043386
1805,Bobby Simmons,8000000,2005,Shooting Guard and Power Forward and Small Forward,75,33.8,8.7,41.0,4,0.4
1806,Brian Skinner,4950000,2005,Center and Power Forward,65,14.5,6.9,22.0,7,0.2475
1807,Charles Smith,771123,2005,Shooting Guard,22,9.5,5.4,26.0,8,0.03855615
1808,Donta Smith,641748,2005,Shooting Guard,23,5.5,6.3,34.0,1,0.0320874
1809,Josh Smith,1365360,2005,Small Forward and Power Forward,80,32.0,9.7,17.0,1,0.068268
1810,Kirk Snyder,1437240,2005,Power Forward and Shooting Guard and Small Forward,68,19.3,9.1,16.0,1,0.071862
1811,Darius Songaila,2200000,2005,Center and Power Forward,62,21.4,9.6,49.0,3,0.11
1812,Pape Sow,641748,2005,Center,42,14.0,3.5,47.0,1,0.0320874
1813,DeShawn Stevenson,2750000,2005,Small Forward and Shooting Guard,82,32.3,6.7,23.0,5,0.1375
1814,Peja Stojakovic,7500000,2005,Small Forward,71,36.6,11.3,14.0,9,0.375
1815,Salim Stoudamire,675000,2005,Point Guard and Shooting Guard,61,20.3,8.1,31.0,0,0.03375
1816,Amar'e Stoudemire,2589023,2005,Center and Power Forward,3,16.8,11.4,9.0,3,0.12945115
1817,Robert Swift,1764480,2005,Center,47,21.0,6.6,12.0,1,0.088224
1818,Stromile Swift,5000000,2005,Power Forward and Center,66,20.4,8.9,2.0,5,0.25
1819,Wally Szczerbiak,10000000,2005,Small Forward,72,37.9,12.3,6.0,6,0.5
1820,Chris Taft,423762,2005,Center,17,8.5,7.4,42.0,0,0.0211881
1821,Maurice Taylor,9100000,2005,Small Forward and Center and Power Forward,67,18.1,5.4,14.0,8,0.455
1822,Sebastian Telfair,1676280,2005,Point Guard,68,24.1,8.1,13.0,1,0.083814
1823,Jason Terry,6666667,2005,Point Guard and Shooting Guard,80,35.0,11.3,10.0,6,0.33333335
1824,Etan Thomas,5393300,2005,Power Forward and Center,71,15.8,7.9,12.0,5,0.269665
1825,John Thomas,178675,2005,Power Forward and Center,16,8.0,0.3,25.0,8,0.00893375
1826,John Thomas,103443,2005,Power Forward and Center,16,8.0,0.3,25.0,8,0.00893375
1827,Kenny Thomas,6500000,2005,Power Forward,82,28.0,11.1,22.0,6,0.325
1828,Tim Thomas,13975000,2005,Power Forward and Small Forward,29,22.9,7.0,7.0,8,0.69875
1829,Dijon Thompson,398762,2005,Shooting Guard and Small Forward,10,4.3,14.5,54.0,0,0.0199381
1830,Jamaal Tinsley,5400000,2005,Point Guard,42,26.7,9.3,27.0,4,0.27
