,PLAYER,GP,MIN,PIE,Year,overall,yearsAfter
222,Roshown McLeod,34,10.3,7.1,1998,20.0,0
223,Ruben Patterson,24,5.9,6.4,1998,31.0,0
224,Ryan Stack,18,11.2,3.5,1998,48.0,0
225,Sam Jacobson,2,6.0,16.4,1998,26.0,0
226,Samaki Walker,39,14.5,7.0,1998,9.0,2
227,Scot Pollard,16,16.2,11.1,1998,19.0,1
228,Sean Marks,8,3.2,2.5,1998,44.0,0
229,Shammond Williams,2,2.1,9.3,1998,34.0,0
230,Shandon Anderson,50,21.4,9.4,1998,54.0,2
231,Shareef Abdur-Rahim,50,40.4,13.8,1998,3.0,2
232,Stephon Marbury,49,38.6,13.7,1998,4.0,2
233,Steve Nash,40,31.7,7.4,1998,15.0,2
234,Tariq Abdul-Wahad,49,24.5,5.9,1998,11.0,1
235,Tim Duncan,50,39.3,17.0,1998,1.0,1
236,Tim Thomas,50,16.3,8.4,1998,7.0,1
237,Toby Bailey,27,9.2,6.2,1998,45.0,0
238,Todd Fuller,42,11.1,6.0,1998,11.0,2
239,Tony Battie,50,22.4,10.8,1998,5.0,1
240,Tony Delk,36,17.5,7.7,1998,16.0,2
241,Tracy McGrady,49,22.5,13.0,1998,9.0,1
242,Travis Knight,37,14.3,7.0,1998,29.0,2
243,Tyronn Lue,15,12.7,4.2,1998,23.0,0
244,Tyson Wheeler,1,3.1,22.9,1998,47.0,0
245,Vince Carter,50,35.2,12.8,1998,5.0,0
246,Vitaly Potapenko,50,27.9,8.9,1998,12.0,2
247,Vladimir Stepania,23,13.5,4.5,1998,27.0,0
248,Walter McCarty,32,20.6,4.9,1998,19.0,2
249,Zydrunas Ilgauskas,5,34.1,12.2,1998,20.0,2
250,A.J. Bramlett,8,7.6,-4.7,1999,39.0,0
251,Adonal Foyle,76,21.7,6.7,1999,8.0,2
252,Al Harrington,50,17.1,6.2,1999,25.0,1
253,Aleksandar Radojevic,3,8.1,-1.0,1999,12.0,0
254,Allen Iverson,70,40.8,12.6,1999,1.0,3
255,Alvin Williams,55,14.1,8.4,1999,47.0,2
256,Andrae Patterson,5,3.8,4.9,1999,46.0,1
257,Andre Miller,82,25.6,13.6,1999,8.0,0
258,Antawn Jamison,43,36.3,10.3,1999,4.0,1
259,Anthony Johnson,56,11.4,4.9,1999,39.0,2
260,Anthony Parker,16,11.6,7.0,1999,21.0,2
261,Antoine Walker,82,36.6,11.8,1999,6.0,3
262,Antonio Daniels,68,17.5,10.6,1999,4.0,2
263,Austin Croshere,81,23.3,11.9,1999,12.0,2
264,Baron Davis,82,18.6,8.5,1999,3.0,0
265,Ben Davis,5,4.1,7.5,1999,43.0,3
266,Bobby Jackson,73,14.2,9.8,1999,23.0,2
267,Bonzi Wells,66,17.6,10.8,1999,11.0,1
268,Brevin Knight,65,27.1,11.6,1999,16.0,2
269,Brian Skinner,33,23.5,8.9,1999,22.0,1
270,Bruno Sundov,14,4.3,0.7,1999,35.0,1
271,Bryce Drew,72,17.9,7.3,1999,16.0,1
272,Cal Bowdler,46,9.1,6.1,1999,17.0,0
273,Calvin Booth,11,12.9,4.3,1999,35.0,0
274,Cedric Henderson,61,18.1,4.8,1999,44.0,2
275,Chauncey Billups,13,23.5,7.7,1999,3.0,2
276,Chris Anstey,73,13.8,11.0,1999,18.0,2
277,Chris Crawford,55,12.1,5.8,1999,50.0,2
278,Chris Herren,45,13.2,6.3,1999,33.0,0
279,Corey Benjamin,48,18.0,4.6,1999,28.0,1
280,Corey Maggette,77,17.8,9.0,1999,13.0,0
281,Cuttino Mobley,81,30.8,10.6,1999,41.0,1
282,Danny Fortson,55,15.6,13.7,1999,10.0,2
283,DeMarco Johnson,5,7.1,-1.7,1999,38.0,1
284,Dee Brown,38,17.7,7.2,2009,46.0,3
285,Derek Anderson,64,34.4,11.0,1999,13.0,2
286,Derek Fisher,78,23.1,6.7,1999,24.0,3
287,Derrick Dial,8,11.9,7.5,1999,52.0,1
288,Devean George,49,7.0,6.7,1999,23.0,0
289,Dion Glover,30,14.9,6.4,1999,20.0,0
290,Dirk Nowitzki,82,35.9,11.2,1999,9.0,1
291,Drew Barry,16,9.9,6.5,1999,57.0,3
292,Elton Brand,81,37.0,14.2,1999,1.0,0
293,Erick Dampier,21,23.5,4.9,1999,10.0,3
294,Evan Eschmeyer,31,12.1,5.2,1999,34.0,0
295,Felipe Lopez,65,12.0,5.8,1999,24.0,1
296,Glen Rice,80,31.6,11.1,2016,35.0,3
297,Greg Buckner,48,19.2,6.5,1999,53.0,1
298,Jacque Vaughn,78,11.3,7.0,1999,27.0,2
299,Jahidi White,80,19.2,9.6,1999,43.0,1
300,James Posey,81,25.3,8.0,1999,18.0,0
301,Jamie Feick,81,27.7,9.3,1999,48.0,3
302,Jason Terry,81,23.3,9.9,1999,10.0,0
303,Jason Williams,81,34.0,8.2,1999,7.0,1
304,Jeff Foster,19,4.5,14.7,1999,21.0,0
305,Jeff McInnis,25,23.9,7.7,1999,37.0,3
306,Jelani McCoy,58,12.9,7.7,1999,33.0,1
307,Jermaine O'Neal,70,12.2,7.6,1999,17.0,3
308,Jerome Williams,82,25.7,14.6,1999,26.0,3
309,John Celestand,16,11.5,1.0,1999,30.0,0
310,John Thomas,55,8.7,-0.3,1999,25.0,2
311,John Wallace,60,13.3,8.9,1999,18.0,3
312,Johnny Taylor,6,5.5,2.3,1999,17.0,2
313,Jonathan Bender,24,5.5,1.9,1999,5.0,0
314,Jumaine Jones,33,4.2,9.4,1999,27.0,0
315,Keith Van Horn,80,34.9,12.0,1999,2.0,2
316,Kelvin Cato,65,24.3,10.0,1999,15.0,2
317,Kenny Thomas,72,24.9,7.9,1999,22.0,0
318,Keon Clark,81,22.9,10.9,1999,13.0,1
319,Kerry Kittles,62,30.6,10.1,1999,8.0,3
320,Kobe Bryant,66,38.2,14.9,1999,13.0,3
321,Lamar Odom,76,36.4,11.3,1999,4.0,0
322,Lari Ketner,22,6.0,4.5,1999,49.0,0
323,Laron Profit,33,6.8,3.1,1999,38.0,0
324,Larry Hughes,82,28.4,9.5,1999,8.0,1
325,Lorenzen Wright,75,16.0,7.2,1999,7.0,3
326,Malik Rose,74,18.1,7.3,1999,44.0,3
327,Marcus Brown,6,7.6,-2.2,1999,46.0,3
328,Marcus Camby,59,26.2,12.4,1999,2.0,3
329,Mark Hendrickson,15,4.7,12.0,1999,31.0,3
330,Matt Harpring,4,15.8,10.0,1999,15.0,1
331,Maurice Taylor,62,35.9,8.6,1999,14.0,2
332,Metta World Peace,72,31.1,9.9,1999,16.0,0
333,Michael Dickerson,82,37.9,9.1,1999,14.0,1
334,Michael Doleac,81,16.5,8.7,1999,12.0,1
335,Michael Olowokandi,80,31.2,6.5,1999,1.0,1
336,Michael Ruffin,71,13.7,3.4,1999,32.0,0
337,Mike Bibby,82,38.5,11.6,1999,2.0,1
338,Mirsad Turkcan,17,5.2,7.4,1999,18.0,1
339,Moochie Norris,30,16.7,12.2,1999,33.0,3
340,Nazr Mohammed,28,6.8,3.3,1999,29.0,1
341,Obinna Ekezie,39,9.1,6.2,1999,37.0,0
342,Othella Harrington,82,32.6,8.3,1999,30.0,3
343,Pat Garrity,82,18.1,7.2,1999,19.0,1
344,Patrick Ewing,62,32.8,12.8,2011,43.0,3
345,Paul Pierce,73,35.4,12.8,1999,10.0,1
346,Peja Stojakovic,74,23.6,11.8,1999,14.0,3
347,Quincy Lewis,74,12.1,1.7,1999,19.0,0
348,Raef LaFrentz,81,30.0,10.1,1999,3.0,1
349,Rafer Alston,27,13.3,3.3,1999,39.0,1
350,Randy Livingston,79,13.6,8.6,1999,42.0,3
351,Rashard Lewis,82,19.2,10.3,1999,32.0,1
352,Rasho Nesterovic,82,21.1,5.7,1999,17.0,1
353,Ray Allen,82,37.5,13.2,1999,5.0,3
354,Richard Hamilton,71,19.3,6.4,1999,7.0,0
355,Ricky Davis,48,11.9,9.9,1999,21.0,1
356,Robert Traylor,44,10.1,6.7,1999,6.0,1
357,Rodney Buford,34,11.3,7.1,1999,53.0,0
358,Rodrick Rhodes,1,8.0,-13.2,1999,24.0,2
359,Ron Mercer,68,34.9,8.1,1999,6.0,2
360,Roshown McLeod,44,19.5,5.3,1999,20.0,1
361,Roy Rogers,40,8.9,5.8,1999,22.0,3
362,Ruben Patterson,81,25.9,10.7,1999,31.0,1
363,Ryan Bowen,52,11.3,4.7,1999,55.0,1
364,Ryan Robertson,1,24.6,2.0,1999,45.0,0
365,Ryan Stack,25,7.9,-0.6,1999,48.0,1
366,Sam Jacobson,52,13.0,5.1,1999,26.0,1
367,Samaki Walker,71,13.8,9.2,1999,9.0,3
368,Scot Pollard,76,17.5,9.7,1999,19.0,2
369,Scott Padgett,47,9.2,4.5,1999,28.0,0
370,Sean Marks,5,2.5,2.7,1999,44.0,1
371,Shammond Williams,43,11.9,7.9,1999,34.0,1
372,Shandon Anderson,82,33.0,9.1,1999,54.0,3
373,Shareef Abdur-Rahim,82,39.3,14.4,1999,3.0,3
374,Shawn Marion,51,24.8,12.5,1999,9.0,0
375,Stephon Marbury,74,38.9,13.4,1999,4.0,3
376,Steve Francis,77,36.0,11.9,1999,2.0,0
377,Steve Nash,56,27.4,8.8,1999,15.0,3
378,Tariq Abdul-Wahad,61,25.8,8.2,1999,11.0,2
379,Tim Duncan,74,38.9,18.3,1999,1.0,2
380,Tim James,4,5.9,5.9,1999,25.0,0
381,Tim Thomas,80,26.2,9.1,1999,7.0,2
382,Tim Young,25,5.5,6.1,1999,56.0,0
383,Toby Bailey,46,9.8,6.3,1999,45.0,1
384,Todd Fuller,41,9.8,6.4,1999,11.0,3
385,Todd MacCulloch,56,9.4,9.8,1999,47.0,0
386,Tony Battie,82,18.3,9.1,1999,5.0,2
387,Tony Delk,46,14.8,9.2,1999,16.0,3
388,Tracy McGrady,79,31.1,13.1,1999,9.0,2
389,Trajan Langdon,10,14.4,8.0,1999,11.0,0
390,Travis Knight,63,6.5,4.9,1999,29.0,3
391,Tyronn Lue,8,18.4,7.8,1999,23.0,1
392,Vince Carter,82,38.1,14.7,1999,5.0,1
393,Vitaly Potapenko,79,22.7,8.8,1999,12.0,3
394,Vladimir Stepania,30,6.8,-0.8,1999,27.0,1
395,Vonteego Cummings,75,23.9,8.4,1999,26.0,0
396,Wally Szczerbiak,73,29.7,9.8,1999,6.0,0
397,Walter McCarty,61,14.4,4.2,1999,19.0,3
398,William Avery,59,8.1,3.7,1999,14.0,0
399,Zydrunas Ilgauskas,24,25.6,10.7,2000,20.0,4
400,William Avery,55,8.4,5.9,2000,14.0,1
401,Wang Zhi-zhi,5,7.8,5.9,2000,36.0,1
402,Walter McCarty,60,7.9,4.8,2000,19.0,4
403,Wally Szczerbiak,82,34.8,10.4,2000,6.0,1
404,Vonteego Cummings,66,22.7,5.9,2000,26.0,1
405,Vladimir Stepania,29,9.6,10.3,2000,27.0,2
406,Vitaly Potapenko,82,23.2,8.2,2000,12.0,4
407,Vince Carter,75,39.7,15.0,2000,5.0,2
408,Tyronn Lue,38,12.3,5.5,2000,23.0,2
409,Travis Knight,45,5.7,-4.3,2000,29.0,4
410,Trajan Langdon,65,17.2,7.2,2000,11.0,1
411,Tracy McGrady,77,40.2,17.1,2000,9.0,3
412,Tony Delk,82,27.9,8.7,2000,16.0,4
413,Tony Battie,40,21.1,10.2,2000,5.0,3
414,Todd MacCulloch,63,9.5,10.4,2000,47.0,1
415,Todd Fuller,10,7.6,5.1,2000,11.0,4
416,Tim Thomas,76,27.4,9.8,2000,7.0,3
417,Tim James,30,6.6,2.1,2000,25.0,1
418,Tim Duncan,82,38.7,17.0,2000,1.0,3
419,Tariq Abdul-Wahad,29,14.5,2.9,2000,11.0,3
420,Stromile Swift,80,16.4,6.7,2000,2.0,0
421,Steve Nash,70,34.1,13.3,2000,15.0,4
422,Steve Francis,80,39.9,13.9,2000,2.0,1
423,Stephon Marbury,67,38.2,14.9,2000,4.0,4
424,Stephen Jackson,77,21.6,7.8,2000,42.0,3
425,Soumaila Samake,34,6.6,4.6,2000,36.0,0
426,Shawn Marion,79,36.2,16.9,2000,9.0,1
427,Shareef Abdur-Rahim,81,40.0,13.6,2000,3.0,4
428,Shandon Anderson,82,29.2,7.6,2000,54.0,4
429,Shammond Williams,69,18.0,10.5,2000,34.0,2
430,Scott Padgett,27,4.7,11.5,2000,28.0,1
431,Scot Pollard,77,21.6,10.0,2000,19.0,3
432,Samaki Walker,61,15.8,8.1,2000,9.0,4
433,Sam Jacobson,14,4.1,1.1,2000,26.0,2
434,Ryan Bowen,57,12.2,6.5,2000,55.0,2
435,Ruben Patterson,76,27.1,11.0,2000,31.0,2
436,Roshown McLeod,35,26.2,7.0,2000,20.0,2
437,Ron Mercer,61,41.5,9.9,2000,6.0,3
438,Rodney Buford,47,12.2,6.5,2000,53.0,1
439,Robert Traylor,70,17.3,7.4,2000,6.0,2
440,Ricky Davis,7,10.2,11.8,2000,21.0,2
441,Richard Hamilton,78,32.3,9.7,2000,7.0,1
442,Ray Allen,82,38.2,14.8,2000,5.0,4
443,Rasho Nesterovic,73,17.0,5.4,2000,17.0,2
444,Rashard Lewis,78,34.9,11.2,2000,32.0,2
445,Randy Livingston,2,3.3,0.0,2000,42.0,4
446,Rafer Alston,37,7.7,9.0,2000,39.0,2
447,Raef LaFrentz,78,31.5,10.4,2000,3.0,2
448,Quincy Lewis,35,11.4,2.4,2000,19.0,1
449,Quentin Richardson,76,17.8,10.1,2000,18.0,0
450,Peja Stojakovic,75,38.7,12.0,2000,14.0,4
451,Paul Pierce,82,38.1,14.7,2000,10.0,2
452,Patrick Ewing,79,26.6,8.8,2012,43.0,4
453,Pat Garrity,76,20.8,5.2,2000,19.0,2
454,Othella Harrington,74,24.5,7.3,2000,30.0,4
455,Olumide Oyedeji,30,7.3,6.5,2000,42.0,0
456,Obinna Ekezie,34,8.3,6.8,2000,37.0,1
457,Nazr Mohammed,58,15.8,11.2,2000,29.0,2
458,Morris Peterson,80,22.6,7.7,2000,21.0,0
459,Moochie Norris,82,20.1,11.9,2000,33.0,4
460,Mike Smith,17,10.6,3.9,2000,35.0,0
461,Mike Miller,82,29.1,9.0,2000,5.0,0
462,Mike Bibby,82,38.9,12.4,2000,2.0,2
463,Michael Ruffin,45,19.5,6.1,2000,32.0,1
464,Michael Redd,6,5.8,-2.5,2000,43.0,0
465,Michael Olowokandi,82,25.9,5.9,2000,1.0,2
466,Michael Doleac,77,18.1,5.7,2000,12.0,2
467,Michael Dickerson,70,37.4,7.2,2000,14.0,2
468,Metta World Peace,76,31.1,8.2,2000,16.0,1
469,Maurice Taylor,69,28.5,9.4,2000,14.0,3
