PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PIE_5_YR
2588,Matt,Bonner,Matt Bonner,PF-SF,80.5,6' 8.5'',242,80.75,6' 8.75'',105.5,8' 9.5'',2003,2002-03,0,2635,Florida,23,33,33,31.4,5.5,10.8,0.51,1.9,4,0.474,2.2,3.1,0.733,2.1,4,6.1,1.5,1.1,0.6,1.6,2.1,15.2,9.5
2547,Chris,Bosh,Chris Bosh,PF,82.25,6' 10.25'',225,87.5,7' 3.5'',109,9' 1'',2003,2002-03,0,2664,Georgia Tech,19,31,31,31,5.5,9.7,0.56,0.7,1.5,0.468,4.1,5.6,0.73,3.1,5.9,9,1.2,1,2.1,2.3,2.4,15.7,15.6
2555,Nick,Collison,Nick Collison,PF,80.75,6' 8.75'',255,85.5,7' 1.5'',108,9' 0'',2003,2002-03,0,2828,Kansas,22,38,38,32.4,7.4,13.3,0.554,0.3,1,0.342,3.3,5.3,0.635,3.3,6.7,10,2.2,1.2,1.9,2.4,2.5,18.5,10.5
2584,Willie,Green,Willie Green,SG-PG,74.5,6' 2.5'',201,79.25,6' 7.25'',100,8' 4'',2003,2002-03,0,2985,Detroit Mercy,21,30,30,34,8.1,16.6,0.49,1.2,3.3,0.374,5.1,6.3,0.805,1.1,3.9,4.9,2.5,1.3,0.4,2.3,2.4,22.6,8.2
2550,Kirk,Hinrich,Kirk Hinrich,PG-SG,74.75,6' 2.75'',186,78,6' 6'',98.5,8' 2.5'',2003,2002-03,0,2828,Kansas,22,37,37,33.6,6.3,13.2,0.475,2.4,5.9,0.406,2.4,3.4,0.704,1,2.7,3.8,3.5,1.9,0.4,2.2,2.1,17.3,9.6
2592,James,Jones,James Jones,SF,79.25,6' 7.25'',218,86.5,7' 2.5'',107.5,8' 11.5'',2003,2002-03,0,2630,Miami (FL),22,28,28,34.2,5.6,12.5,0.447,1.4,3.6,0.4,4.2,5,0.836,1.9,4.2,6,1.8,1.6,1.8,2.5,2.7,16.8,8.5
2563,Dahntay,Jones,Dahntay Jones,SG-SF,76.75,6' 4.75'',214,81,6' 9'',102.5,8' 6.5'',2003,2002-03,0,3111,Duke,22,33,30,30.7,6,12.8,0.47,1.4,3.6,0.398,4.2,5.7,0.749,1.4,4.1,5.5,0.9,1.2,0.5,1.9,3.1,17.7,9.3
2549,Chris,Kaman,Chris Kaman,C-PF,83.5,6' 11.5'',252,83.75,6' 11.75'',110.5,9' 2.5'',2003,2002-03,0,3001,Central Michigan,21,31,31,34,7.9,12.6,0.622,0,0,,6.7,8.9,0.75,3.6,8.4,12,1.3,0.6,3.2,4.4,3.2,22.4,13.9
2594,Kyle,Korver,Kyle Korver,SF,78.25,6' 6.25'',211,81.5,6' 9.5'',102.5,8' 6.5'',2003,2002-03,0,3160,Creighton,22,34,34,31.8,5.4,11.5,0.468,3.8,7.9,0.48,3.2,3.5,0.908,1.4,5,6.4,3.1,1.5,0.7,2,2.6,17.8,8.4
2557,Luke,Ridnour,Luke Ridnour,PG,73,6' 1'',167,75,6' 3'',95.5,7' 11.5'',2003,2002-03,0,3399,Oregon,22,33,33,35.4,6.2,14.2,0.432,2.5,6.4,0.382,4.9,5.6,0.88,0.6,2.8,3.4,6.6,1.9,0.1,3.9,2.3,19.7,8.1
2548,Dwyane,Wade,Dwyane Wade,SG-SF,75.75,6' 3.75'',212,82.75,6' 10.75'',102,8' 6'',2003,2002-03,0,3742,Marquette,21,33,33,32.1,7.6,15.2,0.501,0.4,1.3,0.318,5.9,7.5,0.779,1.8,4.5,6.3,4.4,2.2,1.3,3.2,2.3,21.5,13.9
2561,David,West,David West,PF-SF,80.25,6' 8.25'',226,88.25,7' 4.25'',108.25,9' 0.25'',2003,2002-03,0,3340,Xavier,22,32,32,36.5,6.7,13,0.513,0.3,0.8,0.346,6.5,8,0.816,3.1,8.7,11.8,3.2,1.3,1.6,2.7,3,20.1,13.1
2590,Mo,Williams,Mo Williams,PG-SG,72.75,6' 0.75'',189,77.5,6' 5.5'',98.5,8' 2.5'',2003,2002-03,0,2486,Alabama,20,29,29,35.8,5.5,13.5,0.409,2,6.2,0.317,3.4,4,0.838,1,2.9,3.9,3.9,1.2,0.2,3,2.1,16.4,11.9
