PLAYER_ID,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2561,2002-03,00,3340,Xavier,22.0,32,32,36.5,6.7,13.0,0.513,0.3,0.8,0.346,6.5,8.0,0.816,3.1,8.7,11.8,3.2,1.3,1.6,2.7,3.0,20.1
2590,2002-03,00,2486,Alabama,20.0,29,29,35.8,5.5,13.5,0.409,2.0,6.2,0.317,3.4,4.0,0.838,1.0,2.9,3.9,3.9,1.2,0.2,3.0,2.1,16.4
2754,2003-04,00,3392,Oklahoma State,22.0,35,34,31.6,5.8,11.6,0.504,0.6,2.1,0.297,3.7,5.5,0.675,1.8,3.7,5.5,3.1,2.1,0.9,2.8,3.0,16.0
2772,2003-04,00,2535,California-Los Angeles,19.0,25,23,31.6,4.3,10.0,0.426,0.7,3.0,0.237,2.3,4.5,0.504,2.4,4.0,6.5,2.1,1.7,0.4,3.2,2.8,11.6
2857,2003-04,00,3202,Seton Hall,22.0,31,31,36.1,6.0,13.3,0.455,2.4,6.1,0.384,2.9,3.8,0.761,0.9,3.0,3.9,5.9,1.4,0.1,2.6,2.0,17.3
101138,2004-05,00,2863,Louisiana State,20.0,30,29,33.6,6.0,10.6,0.567,0.4,0.9,0.462,4.9,6.3,0.777,2.7,6.3,9.1,0.8,0.8,1.6,1.8,2.4,17.3
2736,2003-04,00,3111,Duke,19.0,37,32,31.1,5.7,11.9,0.475,1.1,3.0,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1
2732,2003-04,00,2609,Connecticut,21.0,39,39,34.5,6.1,14.1,0.434,2.7,6.2,0.433,3.6,4.4,0.829,0.9,3.8,4.7,4.5,1.4,0.2,2.8,2.3,18.5
2734,2003-04,00,3738,Wisconsin,21.0,32,32,36.3,5.9,12.9,0.459,2.3,6.3,0.373,5.3,6.8,0.792,0.6,3.7,4.3,4.4,1.8,0.1,2.1,1.9,19.5
2743,2003-04,00,3019,Minnesota,19.0,29,28,34.1,7.6,17.2,0.444,0.6,1.7,0.34,5.9,7.9,0.742,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2,21.7
2738,2003-04,00,2507,Arizona,20.0,30,30,32.1,4.5,10.1,0.45,0.8,2.4,0.315,3.1,3.9,0.788,2.4,6.0,8.4,4.9,1.6,0.4,2.8,2.5,12.9
2749,2003-04,00,3478,Saint Joseph's,22.0,32,32,33.9,7.3,15.4,0.475,2.3,5.8,0.39,3.7,4.7,0.792,1.0,3.7,4.7,5.3,3.0,0.0,2.8,1.8,20.6
101126,2004-05,00,3721,Washington,21.0,35,35,31.5,5.4,11.6,0.463,1.8,4.6,0.385,3.9,5.0,0.782,1.5,2.3,3.9,4.5,1.7,0.2,2.0,2.8,16.4
2753,2003-04,00,3478,Saint Joseph's,20.0,32,32,33.5,6.6,13.0,0.51,1.8,4.3,0.412,3.9,4.3,0.892,1.2,4.2,5.4,4.7,1.7,0.2,2.6,1.9,18.9
101187,2004-05,00,2989,Michigan State,22.0,33,33,26.6,4.5,8.1,0.556,0.8,2.0,0.385,3.5,3.9,0.877,1.8,3.7,5.6,1.7,1.0,0.2,1.6,2.7,13.2
101106,2004-05,00,3661,Utah,20.0,35,35,35.0,8.0,12.9,0.62,0.3,0.7,0.36,4.1,5.9,0.692,3.7,8.5,12.2,2.3,1.0,1.9,2.7,2.2,20.4
101198,2004-05,00,2664,Georgia Tech,22.0,32,25,27.3,4.0,10.1,0.398,1.5,4.9,0.31,3.0,3.9,0.762,0.6,1.9,2.5,2.5,1.0,0.0,2.4,2.1,12.5
101109,2004-05,00,3104,North Carolina,21.0,36,35,31.7,4.2,9.2,0.455,1.9,4.4,0.44,2.6,3.7,0.701,0.6,3.7,4.3,6.9,2.0,0.3,3.6,2.0,12.9
