TEMP_PLAYER_ID_x,PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,DRAFT_CLASS
,12244,Pat,Calathes,Pat Calathes,SF-PF,,,,,,7.0,80.75,6' 8.75'',81.75,6' 9.75'',204,81.75,6' 9.75'',106.0,8' 10'',7.3,,,2008
,12245,Joe,Crawford,Joe Crawford,SG,31.0,36.0,11.67,,3.22,13.0,75.0,6' 3'',76.0,6' 4'',213,77.75,6' 5.75'',99.5,8' 3.5'',7.6,,,2008
,12246,Chris,Daniels,Chris Daniels,C-PF,26.0,28.5,12.72,,3.56,11.0,80.25,6' 8.25'',81.5,6' 9.5'',256,84.5,7' 0.5'',109.0,9' 1'',16.1,,,2008
,201595,Joey,Dorsey,Joey Dorsey,PF-C,27.5,33.0,11.84,,3.2,19.0,78.25,6' 6.25'',79.25,6' 7.25'',265,85.75,7' 1.75'',107.0,8' 11'',9.0,,,2008
,12247,Marcus,Dove,Marcus Dove,SF-PF,27.5,33.5,11.59,,3.26,10.0,78.75,6' 6.75'',79.5,6' 7.5'',208,83.5,6' 11.5'',105.0,8' 9'',5.3,,,2008
,12248,Josh,Duncan,Josh Duncan,PF,28.0,32.0,12.47,,3.26,26.0,80.0,6' 8'',81.0,6' 9'',230,83.5,6' 11.5'',104.5,8' 8.5'',5.4,,,2008
,12249,Frank,Elegar,Frank Elegar,PF,33.5,37.5,11.86,,3.17,11.0,79.25,6' 7.25'',80.75,6' 8.75'',210,87.25,7' 3.25'',106.0,8' 10'',4.5,,,2008
,201607,Patrick,Ewing Jr.,Patrick Ewing Jr.,SF-PF,35.0,42.0,11.77,,3.43,2.0,78.0,6' 6'',79.25,6' 7.25'',224,84.25,7' 0.25'',97.5,8' 1.5'',9.4,,,2008
,201814,Gary,Forbes,Gary Forbes,SG,27.5,33.5,11.45,,3.25,13.0,76.5,6' 4.5'',77.75,6' 5.75'',220.5,83.25,6' 11.25'',104.5,8' 8.5'',6.5,,,2008
,12250,Shan,Foster,Shan Foster,SG,30.0,33.0,12.3,,3.24,10.0,76.0,6' 4'',77.25,6' 5.25'',194.5,83.5,6' 11.5'',103.5,8' 7.5'',6.3,,,2008
,201592,J.R.,Giddens,J.R. Giddens,SG,,,,,,10.0,76.0,6' 4'',76.75,6' 4.75'',208,83.25,6' 11.25'',103.0,8' 7'',5.4,,,2008
,12251,James,Gist,James Gist,PF,30.5,35.0,11.37,,3.14,5.0,79.0,6' 7'',80.5,6' 8.5'',220,88.0,7' 4'',107.5,8' 11.5'',4.8,,,2008
,12252,Vladimir,Golubovic,Vladimir Golubovic,C,21.5,27.0,12.4,,3.33,15.0,83.25,6' 11.25'',84.25,7' 0.25'',258,86.5,7' 2.5'',111.5,9' 3.5'',6.9,,,2008
