,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
77,Brevin Knight,949320,1997,Point Guard,80,31.1,13.0,16.0,0
78,Travis Knight,2000000,1997,Center,74,20.3,7.9,29.0,1
79,Priest Lauderdale,630000,1997,Center,39,8.9,5.8,28.0,1
80,Jason Lawson,242250,1997,Center,17,4.6,12.7,41.0,0
81,Randy Livingston,326700,1997,Point Guard,12,6.9,2.6,42.0,1
82,Stephon Marbury,2266320,1997,Point Guard,82,38.0,10.8,4.0,1
83,Walter McCarty,862560,1997,Small Forward and Power Forward,82,28.6,6.8,19.0,1
84,Amal McCaskill,20700,1997,Center,0,0.0,0.0,49.0,1
85,Tracy McGrady,1359360,1997,Shooting Guard and Small Forward,64,18.4,11.1,9.0,0
86,Ron Mercer,1768320,1997,Small Forward and Shooting Guard,80,33.2,9.1,6.0,0
87,Marko Milic,242000,1997,Shooting Guard and Small Forward,33,4.9,11.6,33.0,0
88,Martin Muursepp,675120,1997,Power Forward,41,14.7,7.4,25.0,1
89,Steve Nash,1053360,1997,Point Guard,76,21.9,11.5,15.0,1
90,Jeff Nordgaard,242000,1997,Power Forward,13,3.7,6.5,53.0,1
91,Charles O'Bannon,320000,1997,Shooting Guard,30,7.8,6.7,31.0,0
92,Jermaine O'Neal,950640,1997,Power Forward and Center,60,13.5,7.7,17.0,1
93,Anthony Parker,754080,1997,Shooting Guard and Small Forward,37,5.3,8.4,21.0,0
94,Scot Pollard,818160,1997,Center,33,9.6,7.8,19.0,0
95,Mark Pope,242000,1997,Small Forward and Power Forward,28,6.8,-1.3,52.0,1
96,Vitaly Potapenko,1228560,1997,Center,80,17.6,8.5,12.0,1
97,Rodrick Rhodes,555900,1997,Small Forward and Shooting Guard,58,18.5,2.7,24.0,0
98,Chris Robinson,325000,1997,Shooting Guard,35,11.9,4.8,51.0,1
99,Roy Rogers,763080,1997,Power Forward,15,7.1,-0.3,22.0,1
100,Malik Rose,272250,1997,Small Forward and Power Forward,53,8.1,4.4,44.0,1
101,God Shammgod,242250,1997,Point Guard,20,7.3,3.7,45.0,0
102,Charles Smith,3957143,1997,Power Forward and Small Forward,34,8.6,5.0,26.0,0
103,Charles Smith,619200,1997,Shooting Guard,34,8.6,5.0,26.0,0
104,Kebu Stewart,242000,1997,Power Forward,15,7.5,9.1,35.0,0
105,Johnny Taylor,901880,1997,Small Forward,12,8.9,-1.4,17.0,0
106,Maurice Taylor,1051800,1997,Small Forward and Center and Power Forward,71,21.3,8.9,14.0,0
107,John Thomas,640440,1997,Power Forward and Center,54,9.9,4.1,25.0,0
108,Tim Thomas,1614240,1997,Power Forward and Small Forward,77,23.1,9.0,7.0,0
109,Keith Van Horn,2655360,1997,Power Forward and Small Forward,62,37.6,9.5,2.0,0
110,Jacque Vaughn,601320,1997,Shooting Guard and Point Guard,45,9.3,4.2,27.0,0
111,Antoine Walker,1864080,1997,Power Forward,82,39.9,12.6,6.0,1
112,Samaki Walker,1433040,1997,Power Forward and Center,41,25.1,9.9,9.0,1
113,John Wallace,903120,1997,Small Forward,82,28.8,8.5,18.0,1
114,Eric Washington,242000,1997,Shooting Guard,66,23.3,4.8,46.0,0
115,Bubba Wells,260000,1997,Shooting Guard,39,10.0,6.8,34.0,0
116,DeJuan Wheat,242000,1997,Point Guard,34,4.3,8.6,51.0,0
117,DeJuan Wheat,20000,1997,Point Guard,34,4.3,8.6,51.0,0
118,Alvin Williams,242000,1997,Shooting Guard and Point Guard,54,19.8,6.9,47.0,0
119,Jerome Williams,652800,1997,Power Forward and Small Forward,77,16.9,10.8,26.0,1
120,Lorenzen Wright,1701720,1997,Center,69,29.9,9.6,7.0,1
121,Tariq Abdul-Wahad,1411000,1998,Shooting Guard,49,24.5,5.9,11.0,1
122,Ray Allen,2320000,1998,Shooting Guard,50,34.4,12.5,5.0,2
123,Derek Anderson,1273000,1998,Shooting Guard and Small Forward and Point Guard,38,25.8,13.5,13.0,1
124,Shandon Anderson,1300000,1998,Small Forward and Shooting Guard,50,21.4,9.4,54.0,2
125,Chris Anstey,985200,1998,Center,41,11.5,2.9,18.0,1
126,Toby Bailey,287500,1998,Shooting Guard,27,9.2,6.2,45.0,0
127,Drew Barry,350000,1998,Shooting Guard and Point Guard,17,10.8,6.0,57.0,2
128,Tony Battie,2238000,1998,Center and Power Forward,50,22.4,10.8,5.0,1
129,Corey Benjamin,540000,1998,Shooting Guard and Point Guard,31,10.3,2.6,28.0,0
130,Mike Bibby,2400000,1998,Point Guard,50,35.1,10.0,2.0,0
131,Chauncey Billups,2742000,1998,Point Guard and Shooting Guard,45,33.1,8.1,3.0,1
132,Keith Booth,687240,1998,Small Forward,39,11.0,3.8,28.0,1
133,Marcus Brown,500000,1998,Point Guard and Shooting Guard,0,0.0,0.0,46.0,2
134,Kobe Bryant,1319000,1998,Shooting Guard and Small Forward,50,37.9,13.1,13.0,2
135,Marcus Camby,3164000,1998,Center and Power Forward,46,20.6,11.1,2.0,2
136,Cory Carr,287500,1998,Shooting Guard,42,14.8,2.5,49.0,0
